especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,109226672,109611778,198447352,198447352,198447352,198588467,198693733,198743467,201747217,1010286085,1010511085,1128934585,1129315455,1147108197,1253847835,ON
TOTAL,109226672,109611778,198447352,198447352,198447352,198588467,198693733,198743467,201747217,1010286085,1010511085,1128934585,1129315455,1147108197,1253847835,TOTAL
