cd_conta,conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,53716.000,138014.000,203614.000,-137940.000,57276.000,107847.000,162794.000,-16356.000,36715.000,116970.000,15814.000,-368783.000,-353119.000,190257.000,163272.000,-43036.000,-76030.000,-172902.000,150907.000,-276051.000,120774.000,337764.000,724360.000,14814.000,180361.000,225377.000,479974.000,-18013.000,231972.000,37975.000,435534.000,351630.000,247323.000,388147.000,733448.000,470091.000,-67810.000,-692494.000,-37357.000,146506.000,142581.000,705258.000,2515814.000,117087.000,328883.000,902054.000,-117150.000,190474.000,151864.000,1923904.000,751623.000,640116.000,531985.000,1445728.000,490297.000,671169.000,387873.000,906903.000,2936426.000,20006.000,836705.000,1719559.000,2733371.000
6.01.DA,Depreciação e Amortização,,,68193.000,36609.000,1321.000,5244.000,-1949.000,103743.000,1216.000,1234.000,67123.000,46191.000,55325.000,65041.000,68314.000,63828.000,67066.000,74164.000,85294.000,68587.000,33220.000,114331.000,196770.000,-23819.000,88346.000,169740.000,259643.000,-167794.000,94699.000,97531.000,98240.000,96185.000,103556.000,205808.000,323784.000,-196981.000,119759.000,217880.000,85522.000,213635.000,159583.000,381114.000,569541.000,-397084.000,163989.000,189620.000,165303.000,264605.000,255660.000,311542.000,299120.000,343394.000,441090.000,432250.000,487659.000,512372.000,512843.000,1027970.000,1567454.000,-922914.000,619318.000,1366462.000,1939611.000
6.02,Caixa Líquido Atividades de Investimento,-3408.000,-51271.000,-131097.000,-15507.000,-33359.000,-48845.000,-130796.000,-230297.000,-35126.000,-394169.000,7061.000,-1106299.000,498221.000,-142186.000,-257176.000,121043.000,149070.000,175208.000,-339394.000,-641085.000,79805.000,-204299.000,-563909.000,-275184.000,-155925.000,-207845.000,-237533.000,-343123.000,103503.000,-149806.000,-375158.000,1050134.000,-241863.000,-603649.000,-902851.000,-635656.000,-210853.000,-1613272.000,271531.000,-4217361.000,1480829.000,-1839430.000,-466035.000,-1613476.000,865903.000,55224.000,-2411608.000,-3250056.000,-6051358.000,-279465.000,173435.000,-2581383.000,479938.000,-1622169.000,-1921775.000,-4428323.000,1126032.000,-3065697.000,-11497611.000,-753723.000,-1234608.000,-1432704.000,-7132379.000
6.03,Caixa Líquido Atividades de Financiamento,32599.000,-119377.000,-118587.000,258814.000,-62140.000,-270643.000,-113668.000,270765.000,-103431.000,246411.000,-50451.000,1527779.000,8377.000,-88871.000,76209.000,44793.000,-79899.000,186658.000,45344.000,807387.000,-112203.000,-128594.000,11406.000,113034.000,-18257.000,2691.000,-224396.000,839607.000,-312409.000,64710.000,-28784.000,1842389.000,-78141.000,481878.000,750543.000,-37754.000,525976.000,1717447.000,-361204.000,1580104.000,-151244.000,-31910.000,-523318.000,98187.000,-923311.000,756725.000,2101820.000,2278085.000,4893256.000,195908.000,-1869928.000,2221801.000,142830.000,1099309.000,1763019.000,2793878.000,-2782129.000,154106.000,6181779.000,5080151.000,-1347807.000,-1479055.000,5954146.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,82907.000,-32634.000,-46070.000,105367.000,-38223.000,-211641.000,-81670.000,24112.000,-101842.000,-30788.000,-27576.000,52697.000,153479.000,-40800.000,-17695.000,122800.000,-6859.000,188964.000,-143143.000,-109749.000,88376.000,4871.000,171857.000,-147336.000,6179.000,20223.000,18045.000,478471.000,23066.000,-47121.000,31592.000,3244153.000,-72681.000,266376.000,581140.000,-203319.000,247313.000,-588319.000,-127030.000,-2490751.000,1472166.000,-1166082.000,1526461.000,-1398202.000,271475.000,1714003.000,-426938.000,-781497.000,-1006238.000,1840347.000,-944870.000,280534.000,1154753.000,922868.000,331541.000,-963276.000,-1268224.000,-2004688.000,-2379406.000,4346434.000,-1745710.000,-1192200.000,1555138.000
