especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,319176942,319176942,319176942,319176942,319176942,319176942,319176942,692370186,692370186,43403849,43403849,43403849,43403849,56607699,75424333,ON
TOTAL,319176942,319176942,319176942,319176942,319176942,319176942,319176942,692370186,692370186,43403849,43403849,43403849,43403849,56607699,75424333,TOTAL
