Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2025T4
ON,131881028,131881028,292463400,292463400,535029747,535029747,535029747,657560635,657560635,657560635,657560635,657560635,657560635,657560635,657560635,657560635
PN,112462912,112462912,242612675,242612675,394010416,394010416,394010416,484245486,484245486,547495496,547495486,547495486,648772110,615638634,611509455,611509455
TOTAL,244343940,244343940,535076075,535076075,929040163,929040163,929040163,1141806121,1141806121,1205056121,1205056121,1205056121,1306332745,1273199269,1269070090,1269070090
