especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,212841731754,212841731754,212841731754,212841731754,3869849668,3850970714,3850970714,3818695031,3818695031,3818695031,3818695031,3818695031,3818695031,3818695031,3818695031,ON
PN,186202385151,186202385151,186202385151,186202385151,3730990657,3712111703,3712111703,3679836020,3679836020,3679836020,3679836020,3679836020,3679836020,3679836020,3679836020,PN
TOTAL,399044116905,399044116905,399044116905,399044116905,7600840325,7563082417,7563082417,7498531051,7498531051,7498531051,7498531051,7498531051,7498531051,7498531051,7498531051,TOTAL
