cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,597136.000,597136.000,557572.000,554861.500,552151.000,581104.000,616194.000,874665.000,1145258.000,1346655.000,1538901.000,1484892.000,1414510.000,1437088.000,1626590.000,1703702.000,1397531.000,1450045.000,2046511.000,3165864.000,2952303.000,2885529.000,3537391.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-335823.000,-335823.000,-368905.000,-323267.500,-277630.000,-402476.000,189049.000,-738380.000,-863207.000,-1046341.000,-1234077.000,-1228998.000,-1081144.000,-1095526.000,-1299153.000,-1373123.000,-1106505.000,-1128505.000,-1726989.000,-2668949.000,-2116034.000,-2390092.000,-3200700.000
3.03,Resultado Bruto,261313.000,261313.000,188667.000,231594.000,274521.000,178628.000,805243.000,136285.000,282051.000,300314.000,304824.000,255894.000,333366.000,341562.000,327437.000,330579.000,291026.000,321540.000,319522.000,496915.000,836269.000,495437.000,336691.000
3.04,Despesas/Receitas Operacionais,74594.000,74594.000,-39156.000,-38081.500,-37007.000,-72009.000,-98542.000,172782.000,-105652.000,-117078.000,89362.000,381350.000,-19582.000,-65205.000,-101973.000,-72270.000,208815.000,-45123.000,189880.000,-490910.000,155190.000,-485413.000,-79727.000
3.04.02,Despesas Gerais e Administrativas,-29971.000,-29971.000,-35431.000,-34340.500,-33250.000,-34693.000,-38730.000,-61924.000,-65654.000,-93113.000,-99811.000,-111818.000,-97483.000,-92610.000,-95508.000,-134196.000,-89360.000,-91437.000,-110867.000,-162401.000,-155597.000,-142146.000,-144259.000
3.04.05,Outras Despesas Operacionais,104565.000,104565.000,-3725.000,-3741.000,-3757.000,-37316.000,-59812.000,100885.000,0.000,-78905.000,136873.000,-57968.000,0.000,39292.000,-51492.000,99655.000,231597.000,-7210.000,242313.000,-314357.000,238640.000,-358025.000,6339.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29051.000,54940.000,52300.000,-5632.000,30229.000,-11887.000,45027.000,9943.000,66578.000,53524.000,58434.000,-14152.000,72147.000,14758.000,58193.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,335907.000,335907.000,149511.000,193512.500,237514.000,106619.000,706701.000,309067.000,176399.000,183236.000,394186.000,637244.000,313784.000,276357.000,225464.000,258309.000,499841.000,276417.000,509402.000,6005.000,991459.000,10024.000,256964.000
3.06,Resultado Financeiro,-130175.000,-130175.000,-222934.000,-186968.500,-151003.000,-199953.000,-151574.000,-264517.000,-164436.000,-187452.000,-53053.000,2067216.000,-17187.000,-24451.000,-120128.000,-76241.000,-108979.000,-136052.000,-102625.000,-413636.000,-732077.000,-644527.000,-625290.000
3.06.01,Receitas Financeiras,11552.000,11552.000,8844.000,11298.500,13753.000,11716.000,41663.000,27947.000,86074.000,103888.000,112759.000,2536191.000,254848.000,473238.000,74493.000,142910.000,149860.000,119705.000,141262.000,304060.000,276738.000,234752.000,244490.000
3.06.02,Despesas Financeiras,-141727.000,-141727.000,-231778.000,-198267.000,-164756.000,-211669.000,-193237.000,-292464.000,-250510.000,-291340.000,-165812.000,-468975.000,-272035.000,-497689.000,-194621.000,-219151.000,-258839.000,-255757.000,-243887.000,-717696.000,-1008815.000,-879279.000,-869780.000
3.07,Resultado Antes dos Tributos sobre o Lucro,205732.000,205732.000,-73423.000,6544.000,86511.000,-93334.000,555127.000,44550.000,11963.000,-4216.000,341133.000,2704460.000,296597.000,251906.000,105336.000,182068.000,390862.000,140365.000,406777.000,-407631.000,259382.000,-634503.000,-368326.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-67302.000,-67302.000,-11557.000,-29252.000,-46947.000,7108.000,-238601.000,-2768.000,-14548.000,2189.000,-111046.000,-251321.000,-66645.000,-69024.000,-943452.000,-74475.000,-137244.000,-49276.000,-135947.000,63963.000,-205385.000,71650.000,-35369.000
3.09,Resultado Líquido das Operações Continuadas,138430.000,138430.000,-84980.000,-22708.000,39564.000,-86226.000,316526.000,41782.000,-2585.000,-2027.000,230087.000,2453139.000,229952.000,182882.000,-838116.000,107593.000,253618.000,91089.000,270830.000,-343668.000,53997.000,-562853.000,-403695.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,138430.000,138430.000,-84980.000,-22708.000,39564.000,-86226.000,316526.000,41782.000,-2585.000,-2027.000,230087.000,2453139.000,229952.000,182882.000,-838116.000,107593.000,253618.000,91089.000,270830.000,-343668.000,53997.000,-562853.000,-403695.000
3.11.01,Atribuído a Sócios da Empresa Controladora,58246.000,58246.000,-46546.000,-18209.000,10128.000,-71057.000,82245.000,37423.000,-6799.000,-2027.000,230086.000,2453140.000,229952.000,182882.000,-838116.000,107593.000,0.000,0.000,0.000,250938.000,8496.000,-615390.000,-397034.000
3.11.02,Atribuído a Sócios Não Controladores,80184.000,80184.000,-38434.000,-4499.000,29436.000,-15169.000,234281.000,4359.000,4214.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20931.000,45501.000,52537.000,-6661.000
3.99,Lucro por Ação (Reais/Ação),0.132,0.132,-42.810,-21.380,0.051,-0.043,159.450,-0.159,-0.003,-0.002,0.230,2.213,0.230,0.183,-0.838,0.108,0.254,0.087,0.271,-0.259,0.051,-0.589,-0.961
