codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,LTM
P_L,P/L,Valuation,x,-0.0361,0.4291,0.2562,0.6404,-2.5693,1.2439,0.3195,0.9171,1.8498,2.2239
P_VPA,P/VPA,Valuation,x,0.0234,0.0676,0.1336,0.151,0.2137,0.3197,0.6785,0.9016,0.8831,1.0618
EV_EBITDA,EV/EBITDA,Valuation,x,-0.4664,0.3719,0.4661,1.0156,-4.968,2.421,0.5982,1.7368,3.6484,4.4136
EV_EBIT,EV/EBIT,Valuation,x,-0.4664,0.3719,0.4661,1.0156,-4.968,2.421,0.5982,1.7368,3.6484,4.4136
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,,,
DY,Dividend Yield,Valuation,%,418.6641,15.5751,91.1134,96.288,51.2152,41.7787,166.1066,36.4181,32.779,27.2642
PAYOUT,Payout,Valuation,%,29.9432,13.236,46.0328,121.6045,259.4958,102.4828,104.6608,65.8631,119.5714,119.5714
ROE,ROE,Rentabilidade,%,32.7174,7.952,27.8565,12.6879,4.1311,14.0957,86.1438,49.7693,24.7746,24.7746
ROA,ROA,Rentabilidade,%,26.7194,6.3022,21.5595,10.844,3.8881,13.7082,85.714,47.7422,23.7784,23.7784
ROIC,ROIC,Rentabilidade,%,-18.3922,6.7308,19.4712,8.3895,-2.8625,8.6131,73.4091,34.0479,15.9076,15.9076
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,,,,,,,,,
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,,,,,,,,,
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.3916,-0.3121,0.0154,-0.2025,-0.0525,-0.0428,-0.0368,-0.1121,-0.1346,-0.1346
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.1225,-0.0308,0.0046,-0.0251,0.0023,-0.0056,-0.0393,-0.0547,-0.0314,-0.0314
ICJ,ICJ,Endividamento,x,-14.8726,3.8588,15.8336,9.4226,-30.4839,229.3291,8762.0481,6254.5094,3463.7235,3463.7235
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,0.0,0.0,100.0,0.0,0.0,,,,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,11.023,7.8798,0.723,1.2334,1.7638,11.8006,5.8892,1.1127,4.4009,4.4009
LIQ_SECA,Liquidez Seca,Liquidez,x,11.023,7.8798,0.723,1.2334,1.7638,11.8006,5.8892,1.1127,4.4009,4.4009
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.7556,0.8461,0.7675,1.1707,1.3962,14.0631,9.8874,1.3534,6.7126,6.7126
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,,,,,,,,,
PME,PME,Eficiência,dias,,,,,,,,,,
NCG_RECEITA,NCG/Receita,Eficiência,%,,,,,,,,,,
