especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,122523049,122523049,122523049,122523049,122523049,122523049,122523049,122171449,122171449,122171449,122171449,137989898,137989898,137989898,137989898,ON
PN,227024896,227024896,227024896,227024896,227024896,227024896,227024896,225862596,225862596,225862596,225862596,255106712,255106712,255106712,255106712,PN
TOTAL,349547945,349547945,349547945,349547945,349547945,349547945,349547945,348034045,348034045,348034045,348034045,393096610,393096610,393096610,393096610,TOTAL
