cd_conta,conta,2014T4,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4
2,Passivo Total,0.000,3938625.000,4074586.000,4182588.000,4109124.000,4136312.000,4363111.000,4388123.000,4308307.000,3959618.000,4410825.000,4509694.000,4355816.000,4696796.000,4640899.000,4751535.000,4470478.000,4634501.000,4726504.000,4411784.000,4513894.000,4527740.000,4306518.000,5720585.000,4360187.000,4081986.000,3861606.000,3964955.000,3975692.000,4063957.000,3757259.000,3716944.000,3695600.000,3643164.000,3550141.000,0.000,0.000,0.000,0.000,0.000
2.01,Passivo Circulante,0.000,298818.000,488022.000,757069.000,667002.000,901323.000,983278.000,1333786.000,1122249.000,768685.000,1170631.000,1591815.000,1340139.000,1460669.000,1411659.000,1421224.000,1324509.000,1227295.000,1492583.000,1722953.000,1670319.000,1741958.000,1728713.000,2963948.000,1164763.000,867294.000,895372.000,993369.000,1000998.000,1046441.000,822973.000,1016679.000,1137643.000,1027251.000,865589.000,0.000,0.000,0.000,0.000,0.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,9012.000,9676.000,12706.000,10107.000,8582.000,11061.000,19282.000,13721.000,8542.000,10443.000,13529.000,9590.000,5849.000,9049.000,12051.000,6518.000,5144.000,7422.000,10102.000,4669.000,5308.000,7241.000,9768.000,5221.000,5696.000,8186.000,11194.000,6651.000,6396.000,9255.000,18896.000,14738.000,14944.000,17507.000,0.000,0.000,0.000,0.000,0.000
2.01.02,Fornecedores,0.000,83055.000,117720.000,175719.000,223928.000,258720.000,295405.000,347623.000,365028.000,370342.000,564349.000,676915.000,737707.000,869782.000,909748.000,856067.000,884348.000,971507.000,1013558.000,1057201.000,1064696.000,1101400.000,1192555.000,2069227.000,367164.000,439802.000,481899.000,543880.000,523426.000,537242.000,470828.000,463626.000,443640.000,437002.000,431657.000,0.000,0.000,0.000,0.000,0.000
2.01.03,Obrigações Fiscais,0.000,32326.000,106896.000,138883.000,62727.000,96554.000,139870.000,176756.000,78657.000,148208.000,207059.000,310254.000,65685.000,103654.000,249641.000,107962.000,59871.000,87098.000,105508.000,78275.000,87474.000,113567.000,138192.000,142427.000,10301.000,12008.000,10230.000,9753.000,58157.000,52536.000,56538.000,56812.000,51042.000,63260.000,74336.000,0.000,0.000,0.000,0.000,0.000
2.01.04,Empréstimos e Financiamentos,0.000,119711.000,192370.000,207974.000,208855.000,496389.000,491597.000,515611.000,448396.000,199528.000,342436.000,360173.000,362532.000,443226.000,202324.000,223708.000,221767.000,132787.000,334610.000,355375.000,349939.000,360094.000,353183.000,376967.000,464676.000,367104.000,348925.000,381240.000,371607.000,408240.000,241244.000,271877.000,426560.000,479369.000,306786.000,0.000,0.000,0.000,0.000,0.000
2.01.05,Outras Obrigações,0.000,46011.000,50547.000,214252.000,153561.000,32008.000,34241.000,266409.000,208128.000,32864.000,35721.000,223536.000,156939.000,29319.000,30912.000,214110.000,145765.000,23412.000,23402.000,215362.000,156663.000,152857.000,26655.000,357210.000,308991.000,32986.000,36002.000,40698.000,34169.000,33992.000,35469.000,205468.000,201663.000,32676.000,35303.000,0.000,0.000,0.000,0.000,0.000
2.01.06,Provisões,0.000,8703.000,10813.000,7535.000,7824.000,9070.000,11104.000,8105.000,8319.000,9201.000,10623.000,7408.000,7686.000,8839.000,9985.000,7326.000,6240.000,7347.000,8083.000,6638.000,6878.000,8732.000,10887.000,8349.000,8410.000,9698.000,10130.000,6604.000,6988.000,8035.000,9639.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,0.000,1723056.000,1604389.000,1611636.000,1540880.000,1255843.000,1316663.000,1282349.000,1285825.000,1181021.000,1258566.000,1224210.000,1236127.000,1407665.000,1407698.000,1694890.000,1421336.000,1607400.000,1380069.000,1138034.000,1151744.000,1025451.000,805893.000,844893.000,1278135.000,1292048.000,1056341.000,1063922.000,996282.000,1011459.000,870759.000,828653.000,573314.000,551626.000,561312.000,0.000,0.000,0.000,0.000,0.000
