cd_conta,conta,2015T2,2015T3,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4
6.01,Caixa Líquido das Atividades Operacionais,127668.0,307528.0,100820.0,219494.0,208545.0,242423.0,65684.0,158233.0,202982.0,131423.0,-24104.0,243277.0,-7625.0,160087.0,147055.0,256478.0,139026.0,104828.0,120098.0,150990.0,143285.0,91713.0,-1021487.0,158237.0,-29870.0,84264.0,159814.0,211354.0,-104608.0,190896.0,129074.0,216944.0,108913.0,95654.0,0.0,0.0,0.0,0.0
6.01.DA,Depreciação e Amortização,107886.0,161149.0,56293.0,56280.0,56233.0,56172.0,56291.0,55801.0,56316.0,55796.0,55760.0,53782.0,51527.0,51999.0,55207.0,55515.0,55238.0,55141.0,54842.0,54680.0,54750.0,54538.0,71185.0,71917.0,69757.0,70171.0,69712.0,69526.0,69460.0,69259.0,66627.0,66609.0,66667.0,66596.0,0.0,0.0,0.0,0.0
6.02,Caixa Líquido Atividades de Investimento,-167448.0,-189777.0,5694.0,-12799.0,-17035.0,-20197.0,-20085.0,-25399.0,-22958.0,-17201.0,-10900.0,-4216.0,-11045.0,-18272.0,-5268.0,-6046.0,-13784.0,-27975.0,-6866.0,-4820.0,-13837.0,-9408.0,-2456.0,-8436.0,-4383.0,-12762.0,-16122.0,-5669.0,-3641.0,-6415.0,-2464.0,-5284.0,-4819.0,-5594.0,0.0,0.0,0.0,0.0
6.03,Caixa Líquido Atividades de Financiamento,67302.0,67301.0,-119347.0,-115921.0,75143.0,-178326.0,-127995.0,-433040.0,333132.0,-120498.0,-63061.0,113596.0,-243492.0,-119982.0,-63050.0,-280649.0,217.0,-120029.0,-57791.0,-79992.0,-345030.0,1.0,452338.0,-357349.0,-183327.0,-5.0,-80001.0,1.0,-183329.0,-126366.0,-80025.0,-161915.0,-149387.0,66035.0,0.0,0.0,0.0,0.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.05,Aumento (Redução) de Caixa e Equivalentes,27522.0,185052.0,-12833.0,90774.0,266653.0,43900.0,-82396.0,-300206.0,513156.0,-6276.0,-98065.0,352657.0,-262162.0,21833.0,78737.0,-30217.0,125459.0,-43176.0,55441.0,66178.0,-215582.0,82306.0,-571605.0,-207548.0,-217580.0,71497.0,63691.0,205686.0,-291578.0,58115.0,46585.0,49745.0,-45293.0,156095.0,0.0,0.0,0.0,0.0
