Ticker,Preço_Fechamento,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4
GEPA3,Preço de Fechamento Ajustado,12.83,12.83,13.66,13.66,13.85,13.85,14.2,14.2,11.3,12.8,11.37,11.37,10.26,13.73,13.87,13.76,12.37,12.73,12.67,14.18,17.38,17.6,20.41,16.5,17.42,18.63,19.06,18.64,18.85,15.48,15.68,13.72,10.64,11.29,12.91,12.25,14.32,13.09,15.84,14.83,16.96,19.23,20.99
GEPA4,Preço de Fechamento Ajustado,18.06,17.53,18.33,16.97,16.88,15.06,12.45,13.07,13.42,16.01,12.26,11.53,11.84,15.97,14.98,15.64,14.37,14.76,15.31,16.59,17.79,19.17,21.0,19.88,20.06,20.32,20.19,18.02,18.75,16.46,16.51,13.75,12.72,13.25,14.1,12.85,15.04,14.42,15.35,15.28,17.31,19.2,21.7
