especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,52884310,52884310,52884310,52884310,52884310,52884310,52884310,52884310,7338756,7338756,10680476,10680476,10680476,10680476,10680476,ON
PN,3247500,3247500,3247500,3247500,3247500,3247500,3247500,3247500,450655,450655,450655,450655,450655,450655,450655,PN
TOTAL,56131810,56131810,56131810,56131810,56131810,56131810,56131810,56131810,7789412,7789412,11131131,11131131,11131131,11131131,11131131,TOTAL
