especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,203517711,203517711,691553133,691553133,640714069,640714069,640714069,590714069,590714069,590714069,590714069,590714069,590714069,590714069,590714069
PN,59981196,59981196,341943588,341943588,392782652,392782652,392782652,442782652,442782652,442782652,442782652,442782652,442782652,442782652,442782652
TOTAL,263498907,263498907,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721,1033496721
