especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,181524080,199676488,219644137,241608551,241608551,241608551,241608551,241608551,302010689,302010689,302010689,302010689,339510689,339510689,339510689,ON
PN,171931800,189124980,208037478,228841226,228841226,228841226,228841226,228841226,286051533,286051533,286051533,286051533,343551533,343551533,343551533,PN
TOTAL,353455880,388801468,427681615,470449777,470449777,470449777,470449777,470449777,588062222,588062222,588062222,588062222,683062222,683062222,683062222,TOTAL
