cd_conta,conta,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,41783.0,-28094.0,-57226.0,534346.0,31808.0,144567.0,-21150.0,-5914.0,30710.0,42327.0,36258.0
6.02,Caixa Líquido Atividades de Investimento,-23135.0,-41963.0,-23400.0,137.0,-20969.0,-20831.0,-20210.0,-28351.0,-14950.0,-26988.0,-32606.0
6.03,Caixa Líquido Atividades de Financiamento,-367.0,90784.0,89182.0,-553731.0,-868.0,-88836.0,-1783.0,-1334.0,-1470.0,-2885.0,-4605.0
6.04,Variação Cambial s/ Caixa e Equivalentes,-14765.0,-16588.0,-18474.0,24053.0,-1911.0,19992.0,-2856.0,17172.0,-2359.0,-3898.0,-7119.0
6.05,Aumento (Redução) de Caixa e Equivalentes,3516.0,4139.0,-9918.0,4805.0,8060.0,54892.0,-45999.0,-18427.0,11931.0,8556.0,-8072.0
