especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,12420600,12420600,12420600,13087267,13087267,13087267,1308726,1308726,1308726,41980080,42265080,42275080,42275080,42275080,42275080,ON
PN,24539400,24539400,24539400,25464982,25464982,25464982,2546498,2546498,2546498,0,0,0,0,0,0,PN
TOTAL,36960000,36960000,36960000,38552249,38552249,38552249,3855224,3855224,3855224,41980080,42265080,42275080,42275080,42275080,42275080,TOTAL
