cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,188370.000,267733.000,261524.000,301650.000,227321.000,246204.000,325898.000,345259.000,339286.000,451337.000,456449.000,491223.000,447374.000,602783.000,626659.000,580478.000,594956.000,727746.000,751874.000,811596.000,837382.000,998085.000,1055872.000,1034971.000,1216184.000,1346599.000,1416926.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-133039.000,-166982.000,-180689.000,-182682.000,-149181.000,-159138.000,-202541.000,-205432.000,-218944.000,-288421.000,-281478.000,-304781.000,-281465.000,-387286.000,-392916.000,-358735.000,-371272.000,-453192.000,-467971.000,-498384.000,-520773.000,-615554.000,-646426.000,-630617.000,-741296.000,-813823.000,-850699.000
3.03,Resultado Bruto,55331.000,100751.000,80835.000,118968.000,78140.000,87066.000,123357.000,139827.000,120342.000,162916.000,174971.000,186442.000,165909.000,215497.000,233743.000,221743.000,223684.000,274554.000,283903.000,313212.000,316609.000,382531.000,409446.000,404354.000,474888.000,532776.000,566227.000
3.04,Despesas/Receitas Operacionais,-26621.000,-21744.000,-31209.000,-38802.000,-52810.000,-38290.000,-56027.000,-56241.000,-56361.000,-72175.000,-88924.000,-50843.000,-86836.000,-103501.000,-119273.000,-97841.000,-108326.000,-126688.000,-148338.000,-130061.000,-137436.000,-180592.000,-198243.000,-176989.000,-195641.000,-218552.000,-237560.000
3.04.02,Despesas Gerais e Administrativas,-26240.000,-27173.000,-24843.000,-18587.000,-28376.000,-20732.000,-25631.000,-22153.000,-20615.000,-24043.000,-31117.000,-26689.000,-22810.000,-34143.000,-49409.000,-30206.000,-33375.000,-42088.000,-54245.000,-36075.000,-41298.000,-62203.000,-68034.000,-52894.000,-50355.000,-64402.000,-66007.000
3.04.05,Outras Despesas Operacionais,-9596.000,-2090.000,-1050.000,-29935.000,-4507.000,-2307.000,-6247.000,-4811.000,-6524.000,-10905.000,-8907.000,-16648.000,-19298.000,-15382.000,-11456.000,-15694.000,-12810.000,-18568.000,-12803.000,-19866.000,-21345.000,-23250.000,-19747.000,-21156.000,-39738.000,-30494.000,-39204.000
3.04.06,Resultado de Equivalência Patrimonial,-359.000,-1061.000,849.000,2057.000,791.000,195.000,336.000,1038.000,1138.000,1726.000,-946.000,-991.000,-311.000,-141.000,976.000,-145.000,-110.000,696.000,-295.000,1356.000,1299.000,2806.000,3390.000,1044.000,688.000,1091.000,2474.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,28710.000,79007.000,49626.000,80166.000,25330.000,48776.000,67330.000,83586.000,63981.000,90741.000,86047.000,135599.000,79073.000,111996.000,114470.000,123902.000,115358.000,147866.000,135565.000,183151.000,179173.000,201939.000,211203.000,227365.000,279247.000,314224.000,328667.000
3.06,Resultado Financeiro,-453.000,262.000,-4443.000,-6780.000,-2175.000,-2892.000,-1211.000,-2532.000,-5034.000,-5376.000,-1071.000,-13246.000,-4085.000,-4609.000,-4065.000,-11678.000,-5444.000,-5601.000,-3546.000,680.000,-4917.000,-5749.000,-7613.000,-12805.000,-14580.000,-15628.000,-8694.000
3.06.01,Receitas Financeiras,3012.000,5477.000,3325.000,3461.000,2784.000,2827.000,5428.000,3634.000,2222.000,3924.000,10356.000,8485.000,12977.000,17605.000,18795.000,14654.000,20228.000,20425.000,19668.000,25895.000,19889.000,25350.000,32060.000,28782.000,36752.000,35218.000,47368.000
