cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,274571.000,286590.000,304344.000,266706.000,282839.000,215427.000,263239.000,242870.000,256260.000,274827.000,311002.000,299305.000,327502.000,374636.000,400092.000,380918.000,405486.000,433694.000,446738.000,462991.000,481799.000,513175.000,544483.000,621188.000,568327.000,676688.000,731440.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-193082.000,-198605.000,-217851.000,-180733.000,-196890.000,-145163.000,-178992.000,-158423.000,-170633.000,-180363.000,-219234.000,-200266.000,-224427.000,-247489.000,-278120.000,-257600.000,-279123.000,-292459.000,-305909.000,-318589.000,-333074.000,-345374.000,-373076.000,-447481.000,-398657.000,-485084.000,-535719.000
3.03,Resultado Bruto,81489.000,87985.000,86493.000,85973.000,85949.000,70264.000,84247.000,84447.000,85627.000,94464.000,91768.000,99039.000,103075.000,127147.000,121972.000,123318.000,126363.000,141235.000,140829.000,144402.000,148725.000,167801.000,171407.000,173707.000,169670.000,191604.000,195721.000
3.04,Despesas/Receitas Operacionais,-80691.000,-83942.000,-83242.000,-114985.000,-85654.000,-74925.000,-80044.000,-77637.000,-91909.000,-89813.000,-93087.000,-98201.000,-104510.000,-108109.000,-110264.000,-116997.000,-120709.000,-125194.000,-127612.000,-127991.000,-139738.000,-145327.000,-150554.000,-162786.000,-160610.000,-168602.000,-170344.000
3.04.02,Despesas Gerais e Administrativas,-80691.000,-65897.000,-63864.000,-46133.000,-85654.000,-61837.000,-61945.000,-56882.000,-70374.000,-70977.000,-75566.000,-78663.000,-80418.000,-85380.000,-84703.000,-89719.000,-96202.000,-100189.000,-102411.000,-212403.000,-138536.000,-115410.000,-20429.000,-320973.000,-162496.000,-171129.000,-23238.000
3.04.05,Outras Despesas Operacionais,0.000,-18077.000,-18171.000,-70027.000,0.000,-19175.000,-19369.000,-13398.000,-21535.000,-22908.000,-24849.000,-8138.000,-24092.000,-24081.000,-24145.000,-27342.000,-24507.000,-26013.000,-26453.000,86672.000,-1202.000,-28715.000,0.000,26860.000,1886.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,798.000,4043.000,3251.000,-29012.000,295.000,-4661.000,4203.000,6810.000,-6282.000,4651.000,-1319.000,838.000,-1435.000,19038.000,11708.000,6321.000,5654.000,16041.000,13217.000,16411.000,8987.000,22474.000,20853.000,10921.000,9060.000,23002.000,25377.000
3.06,Resultado Financeiro,-10226.000,-9603.000,-10372.000,55296.000,-9072.000,-10468.000,-4880.000,-9.000,-4587.000,-5895.000,-406.000,-6186.000,-6075.000,-6449.000,-4461.000,-5870.000,-7402.000,-5954.000,-5598.000,-6096.000,-7640.000,-8019.000,-7238.000,-11874.000,-14159.000,-14635.000,-16571.000
3.06.01,Receitas Financeiras,438.000,230.000,319.000,64382.000,165.000,256.000,1728.000,6266.000,1000.000,844.000,3943.000,1365.000,1164.000,929.000,3521.000,2678.000,1291.000,1085.000,2090.000,1396.000,844.000,1234.000,1055.000,4870.000,547.000,479.000,367.000
3.06.02,Despesas Financeiras,-10664.000,-9833.000,-10691.000,-9086.000,-9237.000,-10724.000,-6608.000,-6275.000,-5587.000,-6739.000,-4349.000,-7551.000,-7239.000,-7378.000,-7982.000,-8548.000,-8693.000,-7039.000,-7688.000,-7492.000,-8484.000,-9253.000,-8293.000,-16744.000,-14706.000,-15114.000,-16938.000
3.07,Resultado Antes dos Tributos sobre o Lucro,-9428.000,-5560.000,-7121.000,26284.000,-8777.000,-15129.000,-677.000,6801.000,-10869.000,-1244.000,-1725.000,-5348.000,-7510.000,12589.000,7247.000,451.000,-1748.000,10087.000,7619.000,10315.000,1347.000,14455.000,13615.000,-953.000,-5099.000,8367.000,8806.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,2449.000,913.000,1197.000,-16221.000,2483.000,2090.000,2170.000,11162.000,2405.000,-1686.000,167.000,20279.000,322.000,-322.000,-3910.000,2488.000,138.000,-2139.000,-1829.000,-1081.000,-315.000,-3478.000,-3267.000,4453.000,5230.000,-2911.000,-1234.000
3.09,Resultado Líquido das Operações Continuadas,-6979.000,-4647.000,-5924.000,10063.000,-6294.000,-13039.000,1493.000,17963.000,-8464.000,-2930.000,-1558.000,14931.000,-7188.000,12267.000,3337.000,2939.000,-1610.000,7948.000,5790.000,9234.000,1032.000,10977.000,10348.000,3500.000,131.000,5456.000,7572.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,-6979.000,-4647.000,-5924.000,10063.000,-6294.000,-13039.000,1493.000,17963.000,-8464.000,-2930.000,-1558.000,14931.000,-7188.000,12267.000,3337.000,2939.000,-1610.000,7948.000,5790.000,9234.000,1032.000,10977.000,10348.000,3500.000,131.000,5456.000,7572.000
3.11.01,Atribuído a Sócios da Empresa Controladora,-6979.000,-4647.000,-5924.000,10063.000,-6294.000,-13039.000,1493.000,17963.000,-8464.000,0.000,0.000,10443.000,-7188.000,0.000,0.000,18543.000,-1610.000,0.000,0.000,22972.000,1032.000,0.000,0.000,24825.000,0.000,0.000,0.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.99,Lucro por Ação (Reais/Ação),-0.010,-0.007,0.027,-0.021,-0.009,-0.039,0.004,0.044,0.167,-0.058,-0.031,-0.039,-0.142,0.242,0.066,0.058,-0.032,0.157,0.114,0.183,0.020,0.217,0.204,0.070,0.003,0.108,0.150
