Ticker,Preço_Fechamento,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
ITUB3,Preço de Fechamento Ajustado,5.3,5.22,4.38,4.69,5.33,4.48,4.86,5.62,6.63,5.87,6.13,6.04,6.68,6.98,7.32,7.54,7.73,7.99,6.58,6.66,7.47,7.29,8.87,9.56,11.01,10.62,12.7,12.53,15.79,12.58,13.48,16.15,16.98,17.73,17.64,18.81,13.43,14.63,13.09,17.17,15.62,16.73,16.99,12.2,15.13,12.55,15.35,14.65,14.32,16.89,16.1,20.37,22.17,21.03,23.78,20.61,24.67,29.7,31.59
ITUB4,Preço de Fechamento Ajustado,7.24,6.79,5.48,6.47,6.73,5.46,5.96,6.57,7.07,6.31,6.98,7.18,7.72,8.02,8.59,8.79,9.21,8.93,7.72,7.74,9.44,9.18,10.89,11.6,13.26,12.87,15.35,15.15,19.09,15.02,16.74,20.23,20.62,21.74,21.52,22.84,14.67,16.2,14.38,20.29,18.14,19.43,18.95,13.92,18.31,15.14,18.99,17.29,17.34,20.14,19.51,24.6,26.13,24.68,27.75,23.88,28.17,33.5,35.82
