especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,170812872,170812872,170812872,341625744,341625744,341625744,341625744,341625744,341625744,341625744,341625744,341625744,341625744,409950893,409950893,ON
PN,277637170,277637170,277637170,555274340,555274340,555274340,583570265,583570265,605267138,605267138,605267138,605267138,605267138,726320565,726320565,PN
TOTAL,448450042,448450042,448450042,896900084,896900084,896900084,925196009,925196009,946892882,946892882,946892882,946892882,946892882,1136271458,1136271458,TOTAL
