cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,288924.0,464031.0,705823.0,749924.0,675756.0,591967.0,629365.0,589062.0,536763.0,651733.0,625616.0,654772.0,831622.0,854602.0,885832.0,259859.0,515445.0,422232.0,367434.0,211373.0,210368.0,242110.0,179007.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-256541.0,-404852.0,-614367.0,-687083.0,-608507.0,-529179.0,-558638.0,-502851.0,-496317.0,-571365.0,-553183.0,-553539.0,-723394.0,-750047.0,-792534.0,-176938.0,-470269.0,-348279.0,-333765.0,-219040.0,-179605.0,-245558.0,-183996.0
3.03,Resultado Bruto,32383.0,59179.0,91456.0,62841.0,67249.0,62788.0,70727.0,86211.0,40446.0,80368.0,72433.0,101233.0,108228.0,104555.0,93298.0,82921.0,45176.0,73953.0,33669.0,-7667.0,30763.0,3448.0,4989.0
3.04,Despesas/Receitas Operacionais,-3380.0,-11499.0,-7524.0,-18000.0,-17669.0,-22081.0,-18885.0,-20447.0,-1471.0,-28968.0,-23903.0,-26683.0,-28028.0,-29976.0,-31138.0,-35347.0,-30568.0,-30446.0,-32716.0,-792504.0,-44736.0,-81441.0,-85628.0
3.04.02,Despesas Gerais e Administrativas,-15337.0,-17261.0,-19788.0,-22556.0,-20004.0,-22411.0,-22742.0,-25563.0,-24691.0,-27834.0,-24839.0,-27380.0,-25902.0,-28439.0,-31247.0,-30617.0,-28700.0,-30774.0,-29349.0,-755381.0,-29640.0,-68274.0,-33832.0
3.04.05,Outras Despesas Operacionais,-175.0,-204.0,-172.0,-116.0,-235.0,0.0,0.0,-235.0,-1285.0,0.0,0.0,-1285.0,-4354.0,0.0,0.0,-4354.0,-1868.0,0.0,0.0,-1868.0,-13384.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,29003.0,47680.0,83932.0,44841.0,49580.0,40707.0,51842.0,65764.0,38975.0,51400.0,48530.0,74550.0,80200.0,74579.0,62160.0,47574.0,14608.0,43507.0,953.0,-800171.0,-13973.0,-84889.0,-90617.0
3.06,Resultado Financeiro,-9310.0,-19103.0,-17428.0,-39524.0,-22574.0,-22374.0,-40717.0,-43290.0,-35212.0,-87376.0,-78727.0,-120881.0,-104954.0,-99392.0,-95223.0,-91781.0,-60645.0,-48779.0,-68720.0,-61797.0,-80407.0,-89330.0,-53709.0
3.06.01,Receitas Financeiras,39611.0,31017.0,30527.0,48942.0,41996.0,45530.0,30717.0,30620.0,57079.0,63559.0,32452.0,30465.0,37661.0,26596.0,27579.0,30814.0,21641.0,45287.0,35500.0,51266.0,26747.0,6547.0,49768.0
3.06.02,Despesas Financeiras,-48921.0,-50120.0,-47955.0,-88466.0,-64570.0,-67904.0,-71434.0,-73910.0,-92291.0,-150935.0,-111179.0,-151346.0,-142615.0,-125988.0,-122802.0,-122595.0,-82286.0,-94066.0,-104220.0,-113063.0,-107154.0,-95877.0,-103477.0
