cd_conta_padrao,ds_conta_padrao,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,834259.0,288924.0,464031.0,705823.0,749924.0,675756.0,591967.0,629365.0,589062.0,536763.0,651733.0,625616.0,654772.0,831622.0,854602.0,885832.0,259859.0,515445.0,422232.0,367434.0,211373.0,210368.0,242110.0,179007.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-686132.0,-256541.0,-404852.0,-614367.0,-687083.0,-608507.0,-529179.0,-558638.0,-502851.0,-496317.0,-571365.0,-553183.0,-553539.0,-723394.0,-750047.0,-792534.0,-176938.0,-470269.0,-348279.0,-333765.0,-219040.0,-179605.0,-245558.0,-183996.0
3.03,Resultado Bruto,148127.0,32383.0,59179.0,91456.0,62841.0,67249.0,62788.0,70727.0,86211.0,40446.0,80368.0,72433.0,101233.0,108228.0,104555.0,93298.0,82921.0,45176.0,73953.0,33669.0,-7667.0,30763.0,-3448.0,-4989.0
3.04,Despesas/Receitas Operacionais,-12733.0,-3380.0,-11499.0,-7524.0,-18000.0,-17669.0,-22081.0,-18885.0,-20447.0,-1471.0,-28968.0,-23903.0,-26683.0,-28028.0,-29976.0,-31138.0,-35347.0,-30568.0,-30446.0,-32716.0,-792504.0,-44736.0,-81441.0,-85628.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,135394.0,29003.0,47680.0,83932.0,44841.0,49580.0,40707.0,51842.0,65764.0,38975.0,51400.0,48530.0,74550.0,80200.0,74579.0,62160.0,47574.0,14608.0,43507.0,953.0,-800171.0,-13973.0,-84889.0,-90617.0
3.06,Resultado Financeiro,-31709.0,-9310.0,-19103.0,-17428.0,-39524.0,-22574.0,-22374.0,-40717.0,-43290.0,-35212.0,-87376.0,-78727.0,-120881.0,-104954.0,-99392.0,-95223.0,-91781.0,-60645.0,-48779.0,-68720.0,-61797.0,-80407.0,-89330.0,-53709.0
3.07,Resultado Antes dos Tributos sobre o Lucro,103685.0,19693.0,28577.0,66504.0,5317.0,27006.0,18333.0,11125.0,22474.0,3763.0,-35976.0,-30197.0,-46331.0,-24754.0,-24813.0,-33063.0,-44207.0,-46037.0,-5272.0,-67767.0,-861968.0,-94380.0,-174219.0,-144326.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-14943.0,-3088.0,-4056.0,-10059.0,10311.0,-3962.0,390.0,-1810.0,-4363.0,-2517.0,7354.0,4289.0,6906.0,2548.0,5716.0,4369.0,7637.0,4789.0,2181.0,11089.0,28902.0,-164.0,202.0,-34.0
3.09,Resultado Líquido das Operações Continuadas,88742.0,16605.0,24521.0,56445.0,15628.0,23044.0,18723.0,9315.0,18111.0,1246.0,-28622.0,-25908.0,-39425.0,-22206.0,-19097.0,-28694.0,-36570.0,-41248.0,-3091.0,-56678.0,-833066.0,-94544.0,-174017.0,-144360.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,88742.0,16605.0,24521.0,56445.0,15628.0,23044.0,18723.0,9315.0,18111.0,1246.0,-28622.0,-25908.0,-39425.0,-22206.0,-19097.0,-28694.0,-36570.0,-41248.0,-3091.0,-56678.0,-833066.0,-94544.0,-174017.0,-144360.0
3.99,Lucro por Ação - (Reais / Ação),0.1456,0.0272,0.04,0.09,0.1477,0.03008,0.02,0.0,0.0903,0.0016,0.0375,-0.034,-0.124,-0.0297,-0.0255,-0.0384,-0.087,-0.0337,-0.0505,-0.9248,-15.2386,-1.5408,-2.8359,-2.3516
