cd_conta,conta,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3251513.0,3466183.0,3701062.0,4054522.0,3344547.0,3644445.0,3932805.0,4280835.0,3826311.0,4182877.0,4489179.0,4907417.0,4138449.0,4495343.0,4674549.0,5071904.0,5510588.0,5009204.0,5416716.0,5572127.0,6039145.0,4811997.0,9457308.0,10865035.0,10502357.0,10911013.0,10655114.0,11232995.0,11038651.0,11910014.0,11709268.0,14017541.0,13456728.0,14400965.0,14004319.0,14865194.0,13700467.0,13943235.0,14024016.0,14254621.0,14423704.0,14624520.0
1.01,Ativo Circulante,488225.0,589365.0,682612.0,1164349.0,209648.0,286940.0,489523.0,1003791.0,301064.0,391780.0,691191.0,1334052.0,439624.0,531383.0,596403.0,1190242.0,1311101.0,484203.0,888141.0,759828.0,1156987.0,971771.0,911768.0,1200455.0,552338.0,776190.0,971392.0,1498768.0,818267.0,1436081.0,1666990.0,2219859.0,986008.0,2026608.0,1464596.0,2454205.0,1412181.0,1284485.0,1969462.0,2033656.0,1717451.0,1932384.0
1.01.01,Caixa e Equivalentes de Caixa,200.0,22335.0,52113.0,97834.0,137575.0,170241.0,218838.0,310552.0,232821.0,224699.0,257511.0,501248.0,374083.0,460297.0,249773.0,323661.0,1183247.0,347212.0,501728.0,390342.0,871243.0,28935.0,45.0,3403.0,156.0,34051.0,470.0,944.0,655.0,810.0,716.0,440.0,167.0,299.0,430.0,243.0,418.0,474.0,435.0,291.0,276.0,204.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89540.0,136135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163299.0,766725.0,773379.0,391584.0,427652.0,584519.0,361905.0,970149.0,630140.0,1271740.0,917344.0,1295644.0,826047.0,1878859.0,850819.0,1264033.0,884679.0,913018.0,1209486.0,1204838.0,1113124.0,1103992.0
1.01.03,Contas a Receber,0.0,19976.0,34321.0,33295.0,31323.0,43178.0,37311.0,44276.0,48258.0,47200.0,41955.0,130672.0,51994.0,57275.0,81669.0,105784.0,107424.0,106195.0,95366.0,85003.0,107074.0,149083.0,105871.0,132194.0,117559.0,130351.0,165086.0,151416.0,159411.0,130691.0,105715.0,102112.0,140461.0,124900.0,152522.0,132890.0,172591.0,137307.0,153339.0,173626.0,137538.0,157674.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,488025.0,547054.0,596178.0,1033220.0,40750.0,73521.0,233374.0,648963.0,19985.0,30341.0,255590.0,702132.0,13547.0,13811.0,264961.0,760797.0,20430.0,30796.0,291047.0,284483.0,15371.0,27028.0,32473.0,673274.0,6971.0,27269.0,443931.0,376259.0,28061.0,32840.0,643215.0,821663.0,19333.0,22550.0,460825.0,1057039.0,354493.0,233686.0,606202.0,654901.0,466513.0,670514.0
1.02,Ativo Não Circulante,2763288.0,2876818.0,3018450.0,2890173.0,3134899.0,3357505.0,3443282.0,3277044.0,3525247.0,3791097.0,3797988.0,3573365.0,3698825.0,3963960.0,4078146.0,3881662.0,4199487.0,4525001.0,4528575.0,4812299.0,4882158.0,3840226.0,8545540.0,9664580.0,9950019.0,10134823.0,9683722.0,9734227.0,10220384.0,10473933.0,10042278.0,11797682.0,12470720.0,12374357.0,12539723.0,12410989.0,12288286.0,12658750.0,12054554.0,12220965.0,12706253.0,12692136.0
1.02.01,Ativo Realizável a Longo Prazo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,45.0,41.0,39.0,36.0,34.0,33.0,30.0,28.0,25.0,23.0,20.0,18.0,15.0,28.0,25.0,22.0,18.0,15.0,12.0,11.0,10.0,9.0,8.0,7.0,52.0,0.0,0.0
1.02.02,Investimentos,2763288.0,2876818.0,3018450.0,2890173.0,3134899.0,3357505.0,3443282.0,3277044.0,3525247.0,3791097.0,3797988.0,3573365.0,3698825.0,3963960.0,4078099.0,3881617.0,4199446.0,4524962.0,4528539.0,4812265.0,4882125.0,3840196.0,8545512.0,9664555.0,9949996.0,10134803.0,9683704.0,9734212.0,10220356.0,10473908.0,10042256.0,11797664.0,12470705.0,12374345.0,12539712.0,12410979.0,12288277.0,12658742.0,12054547.0,12220913.0,12695842.0,12681881.0
