ticker;codigo;trading_name;issuing_company;status
OPCT3;OPCT;OCEANPACT;OPCT;ok
OSXB3;OSXB;OSX BRASIL;OSXB;ok
PETR3;PETR;PETROBRAS;PETR;ok
PRIO3;PRIO;PETRORIO;PRIO;ok
RAIZ4;RAIZ;RAIZEN;RAIZ;ok
RECV3;RECV;PETRORECSA;RECV;ok
RPMG3;RPMG;PET MANGUINH;RPMG;ok
UGPA3;UGPA;ULTRAPAR;UGPA;ok
VBBR3;VBBR;VIBRA;VBBR;ok
BBSE3;BBSE;BBSEGURIDADE;BBSE;ok
CXSE3;CXSE;CAIXA SEGURI;CXSE;ok
IRBR3;IRBR;IRBBRASIL RE;IRBR;ok
PSSA3;PSSA;PORTO SEGURO;PSSA;ok
WIZC3;WIZC;WIZ CO;WIZC;ok
BOBR3;BOBR;BOMBRIL;BOBR;ok
ESPA3;ESPA;ESPACOLASER;ESPA;ok
NATU3;NATU;NATURA;NATU;ok
BMOB3;BMOB;BEMOBI TECH;BMOB;ok
BRQB3;BRQB;BRQ;BRQB;ok
CASH3;CASH;MELIUZ;CASH;ok
ENJU3;ENJU;ENJOEI;ENJU;ok
IFCM3;IFCM;INFRACOMM;IFCM;ok
LWSA3;LWSA;LWSA;LWSA;ok
NGRD3;NGRD;NEOGRID;NGRD;ok
PDTC3;PDTC;PADTEC;PDTC;ok
TOTS3;TOTS;TOTVS;TOTS;ok
TRAD3;TRAD;TC;TRAD;ok
BRKM3;BRKM;BRASKEM;BRKM;ok
CRPG3;CRPG;CRISTAL;CRPG;ok
DEXP3;DEXP;DEXXOS PAR;DEXP;ok
FHER3;FHER;FER HERINGER;FHER;ok
NUTR3;NUTR;NUTRIPLANT;NUTR;ok
UNIP3;UNIP;UNIPAR;UNIP;ok
VITT3;VITT;VITTIA;VITT;ok
AALR3;AALR;ALLIAR;AALR;ok
DASA3;DASA;DASA;DASA;ok
FLRY3;FLRY;FLEURY;FLRY;ok
HAPV3;HAPV;HAPVIDA;HAPV;ok
MATD3;MATD;MATER DEI;MATD;ok
ODPV3;ODPV;ODONTOPREV;ODPV;ok
ONCO3;ONCO;ONCOCLINICAS;ONCO;ok
QUAL3;QUAL;QUALICORP;QUAL;ok
RDOR3;RDOR;REDE D OR;RDOR;ok
ALPK3;ALPK;ESTAPAR;ALPK;ok
BBML3;BBML;BBMLOGISTICA;BBML;ok
DTCY3;DTCY;DTCOM-DIRECT;DTCY;ok
GGPS3;GGPS;GPS;GGPS;ok
VLID3;VLID;VALID;VLID;ok
CSNA3;CSNA;SID NACIONAL;CSNA;ok
FESA3;FESA;FERBASA;FESA;ok
GGBR3;GGBR;GERDAU;GGBR;ok
GOAU3;GOAU;GERDAU MET;GOAU;ok
HAGA3;HAGA;HAGA SA;HAGA;ok
MGEL3;MGEL;MANGELS INDL;MGEL;ok
PATI3;PATI;PANATLANTICA;PATI;ok
PMAM3;PMAM;PARANAPANEMA;PMAM;ok
TKNO3;TKNO;TEKNO;TKNO;ok
USIM3;USIM;USIMINAS;USIM;ok
ALPA3;ALPA;ALPARGATAS;ALPA;ok
CAMB3;CAMB;CAMBUCI;CAMB;ok
CATA3;CATA;IND CATAGUAS;CATA;ok
CEDO3;CEDO;CEDRO;CEDO;ok
CTKA3;CTKA;KARSTEN;CTKA;ok
CTNM3;CTNM;COTEMINAS;CTNM;ok
CTSA3;CTSA;SANTANENSE;CTSA;ok
DOHL3;DOHL;DOHLER;DOHL;ok
GRND3;GRND;GRENDENE;GRND;ok
MNDL3;MNDL;MUNDIAL;MNDL;ok
PTNT3;PTNT;PETTENATI;PTNT;ok
SGPS3;SGPS;SPRINGS;SGPS;ok
TECN3;TECN;TECHNOS;TECN;ok
TFCO4;TFCO;TRACK FIELD;TFCO;ok
TXRX3;TXRX;TEX RENAUX;TXRX;ok
VIVA3;VIVA;VIVARA SA;VIVA;ok
VULC3;VULC;VULCABRAS;VULC;ok
DESK3;DESK;DESKTOP;DESK;ok
FIQE3;FIQE;UNIFIQUE;FIQE;ok
OIBR3;OIBR;OI;OIBR;ok
TELB3;TELB;TELEBRAS;TELB;ok
TIMS3;TIMS;TIM;TIMS;ok
VIVT3;VIVT;TELEF BRASIL;VIVT;ok
AZUL4;AZUL;AZUL;AZUL;ok
CRTE3;CRTE;CONC RIO TER;CRTE;ok
ECOR3;ECOR;ECORODOVIAS;ECOR;ok
HBSA3;HBSA;HIDROVIAS;HBSA;ok
JSLG3;JSLG;JSL;JSLG;ok
LOGN3;LOGN;LOG-IN;LOGN;ok
LUXM3;LUXM;TREVISA;LUXM;ok
MOTV3;MOTV;MOTIVA SA;MOTV;ok
RAIL3;RAIL;RUMO SA;RAIL;ok
SEQL3;SEQL;SEQUOIA LOG;SEQL;ok
TGMA3;TGMA;TEGMA;TGMA;ok
TPIS3;TPIS;TRIUNFO PART;TPIS;ok
HETA3;HETA;HERCULES;HETA;ok
UCAS3;UCAS;UNICASA;UCAS;ok
WEST3;WEST;WESTWING;WEST;ok
WHRL3;WHRL;WHIRLPOOL;WHRL;ok
BMKS3;BMKS;BIC MONARK;BMKS;ok
CVCB3;CVCB;CVC BRASIL;CVCB;ok
ESTR3;ESTR;ESTRELA;ESTR;ok
SHOW3;SHOW;TIME FOR FUN;SHOW;ok
SMFT3;SMFT;SMART FIT;SMFT;ok
