especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,4212530,ON
PN,5551953,5551953,5551953,5551953,5551953,4924733,4924733,4924733,4924733,4924733,4924733,4924733,4577200,4577200,4577200,PN
TOTAL,9764483,9764483,9764483,9764483,9764483,9137263,9137263,9137263,9137263,9137263,9137263,9137263,8789730,8789730,8789730,TOTAL
