cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,212447.000,9624.000,29213.000,-250345.054,273821.000,300917.000,314137.000,322633.000,295512.000,329866.000,464549.000,423260.000,520416.000,665582.000,830269.000,807228.000,945179.000,1198349.000,1378493.000,1391433.000,1682313.000,1468919.000,1481513.000,1452737.000,1726111.000,157144.000,92097.000,2723960.000,1332016.000,1411666.000,1529007.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-137168.000,-158.000,-30542.000,167243.350,-182924.000,-197688.000,-209627.000,-208168.000,-186075.000,-213706.000,-322609.000,-273078.000,-337836.000,-429876.000,-541705.000,-480828.000,-561830.000,-706841.000,-782641.000,-769739.000,-996111.000,-800645.000,-782745.000,-749369.000,-923137.000,-100184.000,-102402.000,-568221.000,-601854.000,-657765.000,-788942.000
3.03,Resultado Bruto,75279.000,9466.000,-1329.000,-83101.704,90897.000,103229.000,104510.000,114465.000,109437.000,116160.000,141940.000,150182.000,182580.000,235706.000,288564.000,326400.000,383349.000,491508.000,595852.000,621694.000,686202.000,668274.000,698768.000,703368.000,802974.000,56960.000,-10305.000,2155739.000,730162.000,753901.000,740065.000
3.04,Despesas/Receitas Operacionais,-21410.000,-3306.000,891.000,23729.348,-29896.000,-22631.000,-30718.000,-37203.000,-29765.000,-30663.000,-40506.000,-47230.000,-51398.000,-61186.000,-76938.000,-90093.000,-87902.000,-110933.000,-126440.000,-155943.000,144511.000,-144695.000,-162886.000,-509600.000,-162108.000,-115691.000,88449.000,-252977.000,-87001.000,-100019.000,-118165.000
3.04.02,Despesas Gerais e Administrativas,-20306.000,1336.000,-2284.000,21172.084,-23002.000,-25169.000,-24713.000,-7532.000,-20860.000,-20927.000,-23173.000,-30931.000,-28353.000,-31413.000,-48364.000,-58055.000,-43059.000,-56807.000,-81477.000,-82955.000,-73409.000,-79288.000,-85445.000,-101659.000,-81774.000,-10125.000,-3763.000,-165332.000,-37879.000,-43538.000,-51412.000
3.04.05,Outras Despesas Operacionais,-166.000,166.000,0.000,0.000,-579.000,0.000,0.000,579.000,-165.000,0.000,0.000,165.000,-1015.000,0.000,0.000,1015.000,-2012.000,0.000,0.000,2012.000,0.000,0.000,0.000,0.000,0.000,-8281.000,8281.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,53869.000,6160.000,-438.000,-59372.356,61001.000,80598.000,73792.000,77262.000,79672.000,85497.000,101434.000,102952.000,131182.000,174520.000,211626.000,236307.000,295447.000,380575.000,469412.000,465751.000,541691.000,523579.000,535882.000,482790.000,640866.000,-58731.000,78144.000,1902762.000,643161.000,653882.000,621900.000
3.06,Resultado Financeiro,-17232.000,2368.000,-2378.000,17174.980,-18739.000,-25994.000,-23631.000,-25124.000,-27393.000,-28950.000,-30548.000,-25201.000,-24062.000,-27341.000,-51293.000,-71104.000,-117270.000,-179318.000,-253222.000,-280388.000,-337713.000,-409563.000,-431391.000,-395922.000,-395116.000,-12476.000,-20226.000,-1192613.000,-493222.000,-531570.000,-562136.000
3.06.01,Receitas Financeiras,3404.000,2572.000,390.000,-6350.368,4308.000,400.000,4618.000,7344.000,6385.000,4254.000,2734.000,7803.000,6151.000,9144.000,16187.000,77932.000,110545.000,65565.000,81359.000,77561.000,47395.000,42601.000,58944.000,48433.000,61542.000,-6629.000,35438.000,218561.000,91249.000,130802.000,147778.000
3.06.02,Despesas Financeiras,-20636.000,-204.000,-2768.000,23525.348,-23047.000,-26394.000,-28249.000,-32468.000,-33778.000,-33204.000,-33282.000,-33004.000,-30213.000,-36485.000,-67480.000,-149036.000,-227815.000,-244883.000,-334581.000,-357949.000,-385108.000,-452164.000,-490335.000,-444355.000,-456658.000,-5847.000,-55664.000,-1411174.000,-584471.000,-662372.000,-709914.000
3.07,Resultado Antes dos Tributos sobre o Lucro,36637.000,8528.000,-2816.000,-42197.376,42262.000,54604.000,50161.000,52138.000,52279.000,56547.000,70886.000,77751.000,107120.000,147179.000,160333.000,165203.000,178177.000,201257.000,216190.000,185363.000,203978.000,114016.000,104491.000,86868.000,245750.000,-71207.000,57918.000,710149.000,149939.000,122312.000,59764.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-12814.000,-169.000,1804.000,11133.268,-10794.000,-17132.000,-11874.000,-17583.000,-15706.000,-17291.000,-21831.000,-23443.000,-33879.000,-47148.000,-48968.000,-47465.000,-56319.000,-58770.000,-66181.000,68912.000,-34852.000,-7415.000,11309.000,108564.000,-62733.000,29036.000,-23709.000,-160275.000,-42109.000,-29547.000,-9317.000
3.09,Resultado Líquido das Operações Continuadas,23823.000,8359.000,-1012.000,-31064.108,31468.000,37472.000,38287.000,34555.000,36573.000,39256.000,49055.000,54308.000,73241.000,100031.000,111365.000,117738.000,121858.000,142487.000,150009.000,254275.000,169126.000,106601.000,115800.000,195432.000,183017.000,-42171.000,34209.000,549874.000,107830.000,92765.000,50447.000
3.10,Resultado Líquido de Operações Descontinuadas,1522.000,45.000,444.000,-2003.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-343955.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,25345.000,8404.000,-568.000,-33068.063,31468.000,37472.000,38287.000,34555.000,36573.000,39256.000,49055.000,54308.000,73241.000,100031.000,111365.000,117738.000,121858.000,142487.000,150009.000,254275.000,169126.000,106601.000,115800.000,195432.000,183017.000,-42171.000,34209.000,205919.000,107830.000,92765.000,50447.000
3.11.01,Atribuído a Sócios da Empresa Controladora,25345.000,8404.000,-568.000,-33068.063,31468.000,37472.000,38287.000,34555.000,36573.000,39256.000,49055.000,54308.000,73241.000,100031.000,110425.000,118678.000,121858.000,0.000,150009.000,-271867.000,169126.000,0.000,115800.000,-284926.000,183017.000,-183017.000,175055.000,-175055.000,0.000,0.000,0.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,940.000,-940.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.99,Lucro por Ação (Reais/Ação),0.071,0.008,-0.001,-0.071,0.109,0.387,0.395,1.370,0.191,0.172,0.215,0.744,0.359,0.102,0.114,0.050,0.133,0.147,0.146,0.400,0.166,0.105,0.105,0.284,0.167,0.129,0.032,0.054,0.102,0.088,0.047
