especie,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,96817831,227850990,976987970,1025397970,1104324569,1081032537,ON
TOTAL,96817831,227850990,976987970,1025397970,1104324569,1081032537,TOTAL
