especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,137618994,573627483,573627483,573627483,573627483,573627483,573627483,573627483,573627483,573627483,573627483,573627483,600526442,720631730,718346219,ON
PN,275062544,1146031245,1146031245,1146031245,1146031245,1146031245,1146031245,1146031245,1146031245,1146031245,1146031245,1146031245,1156540608,1387848730,1309848730,PN
TOTAL,412681538,1719658728,1719658728,1719658728,1719658728,1719658728,1719658728,1719658728,1719658728,1719658728,1719658728,1719658728,1757067050,2108480460,2028194949,TOTAL
