cd_conta_padrao,ds_conta_padrao,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
1,Ativo Total,9613943.0,10257203.0,10919038.0,11846050.0,12666272.0,14194610.0,15104672.0,18932446.0,20021297.0,19943387.0,19825638.0,19479920.0,19543800.0,20299813.0,20947984.0,20007402.0,18930314.0,19096740.0,20032548.0
1.01,Ativo Circulante,2168727.0,1464717.0,1215193.0,2339878.0,2842864.0,3986305.0,4091868.0,4778502.0,5033325.0,4316117.0,3337524.0,2772206.0,2698932.0,3405914.0,3977317.0,3171375.0,2150969.0,2440255.0,3209167.0
1.01.01,Caixa e Equivalentes de Caixa,790998.0,106802.0,33560.0,657043.0,305345.0,521663.0,96985.0,195872.0,37793.0,59084.0,23881.0,281683.0,119293.0,170666.0,516947.0,1909716.0,1327828.0,1711943.0,2084973.0
1.01.02,Aplicações Financeiras,841680.0,946688.0,698114.0,1055269.0,1920063.0,2901821.0,3358397.0,3587700.0,3908692.0,3232875.0,2446962.0,1733262.0,1681114.0,2003553.0,1592260.0,0.0,0.0,0.0,278512.0
1.01.03,Contas a Receber,280210.0,242172.0,282479.0,364560.0,299197.0,265347.0,297625.0,335767.0,347996.0,347626.0,346294.0,375660.0,369355.0,368550.0,470629.0,501928.0,454651.0,404714.0,534925.0
1.01.04,Estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,43498.0,64216.0,79632.0,74455.0,86074.0,77567.0,85729.0,101081.0,143783.0,174367.0,205703.0,105825.0,128030.0,124093.0,128264.0,116647.0,92419.0,91671.0,95333.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32995.0,18851.0,5994.0
1.01.08,Outros Ativos Circulantes,212341.0,104839.0,121408.0,188551.0,232185.0,219907.0,253132.0,558082.0,595061.0,502165.0,314684.0,275776.0,401140.0,739052.0,1269217.0,643084.0,243076.0,213076.0,209430.0
1.02,Ativo Não Circulante,7445216.0,8792486.0,9703845.0,9506172.0,9823408.0,10208305.0,11012804.0,14153944.0,14987972.0,15627270.0,16488114.0,16707714.0,16844868.0,16893899.0,16970667.0,16836027.0,16779345.0,16656485.0,16823381.0
1.02.01,Ativo Realizável a Longo Prazo,141800.0,280193.0,837202.0,337952.0,389155.0,416404.0,434468.0,511750.0,541945.0,629824.0,847575.0,858972.0,1006609.0,1047558.0,1170082.0,1054592.0,1073877.0,1009297.0,1111544.0
1.02.02,Investimentos,60725.0,74644.0,87641.0,87491.0,85611.0,90395.0,105596.0,107539.0,108301.0,103498.0,104534.0,106852.0,98846.0,93745.0,92833.0,106817.0,103227.0,84209.0,84410.0
1.02.03,Imobilizado,5996204.0,6900698.0,7055469.0,7343248.0,7635594.0,8006805.0,8770141.0,11173804.0,12006798.0,12583570.0,13257791.0,13691750.0,13771396.0,13813278.0,13807562.0,13816126.0,13797989.0,13779941.0,13886544.0
1.02.04,Intangível,1246487.0,1536951.0,1723533.0,1737481.0,1713048.0,1694701.0,1702599.0,2360851.0,2330928.0,2310378.0,2278214.0,2050140.0,1968017.0,1939318.0,1900190.0,1858492.0,1804252.0,1783038.0,1740883.0
