cd_conta_padrao,ds_conta_padrao,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,0.0,561421.0,100284.0,1293306.0,676820.0,-55926.0,165664.0,2058499.0,786263.0,-23286.0,145665.0,2522874.0,828605.0,43247.0,230582.0,2775209.0,969928.0,-24058.0,116982.0
3.02,Custo dos Bens e/ou Serviços Vendidos,0.0,-378438.0,-260641.0,-1027670.0,-449679.0,-9878.0,-95238.0,-1384316.0,-485230.0,-26300.0,-91248.0,-1594180.0,-596064.0,-63128.0,-218036.0,-2063485.0,-598996.0,-80302.0,-173997.0
3.03,Resultado Bruto,0.0,182983.0,-160357.0,265636.0,227141.0,-65804.0,70426.0,674183.0,301033.0,-49586.0,54417.0,928694.0,232541.0,-19881.0,12546.0,711724.0,370932.0,-104360.0,-57015.0
3.04,Despesas/Receitas Operacionais,0.0,-46305.0,-10175.0,-46566.0,-53990.0,10699.0,-3231.0,-161573.0,-57787.0,5008.0,10055.0,-151274.0,-75565.0,16018.0,5837.0,-173817.0,-74282.0,53155.0,2313.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,0.0,136678.0,-170532.0,219070.0,173151.0,-55105.0,67195.0,512610.0,243246.0,-44578.0,64472.0,777420.0,156976.0,-3863.0,18383.0,537907.0,296650.0,-51205.0,-54702.0
3.06,Resultado Financeiro,0.0,-116809.0,6953.0,-239186.0,-94959.0,-11958.0,71145.0,-272860.0,-144754.0,867.0,-6843.0,-481490.0,-245425.0,-11129.0,15019.0,-758610.0,-347817.0,41289.0,-37691.0
3.07,Resultado Antes dos Tributos sobre o Lucro,0.0,19869.0,-163579.0,-20116.0,78192.0,-67063.0,138340.0,239750.0,98492.0,-43711.0,57629.0,295930.0,-88449.0,-14992.0,33402.0,-220703.0,-51167.0,-9916.0,-92393.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0,6701.0,566522.0,15167.0,-7269.0,5445.0,-45077.0,-22171.0,-38117.0,19247.0,30874.0,-87057.0,-13919.0,8683.0,1671.0,-24764.0,-34577.0,10836.0,-11649.0
3.09,Resultado Líquido das Operações Continuadas,0.0,26570.0,402943.0,-4949.0,70923.0,-61618.0,93263.0,217579.0,60375.0,-24464.0,88503.0,208873.0,-102368.0,-6309.0,35073.0,-245467.0,-85744.0,920.0,-104042.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,0.0,26570.0,402943.0,-4949.0,70923.0,-61618.0,93263.0,217579.0,60375.0,-24464.0,88503.0,208873.0,-102368.0,-6309.0,35073.0,-245467.0,-85744.0,920.0,-104042.0
3.99,Lucro por Ação - (Reais / Ação),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
