cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4
1,Ativo Total,1701376036.0,1735945156.0,1861372023.0,1799615675.0,1828731521.0,1863388514.0,1895059109.0,1927523249.0,1956078468.0,2003850390.0,2017703133.0,2069506045.0,2054649704.0,2147570089.0,2202774724.0,2202774724.0
1.01,Caixa e Equivalentes de Caixa,112768118.0,102108974.0,148531503.0,118184067.0,187945267.0,172915854.0,251798696.0,186790580.0,206006503.0,214796802.0,212869406.0,208023801.0,171220729.0,222829387.0,225625971.0,225625971.0
1.02,Ativos Financeiros,1447805464.0,1490085505.0,1569172019.0,1530034589.0,1489284931.0,1537567558.0,1487595635.0,1581481790.0,1588061503.0,1617887982.0,1632225264.0,1683591095.0,1705797067.0,1740446958.0,1788672711.0,1788672711.0
1.02.04,Ativos Financeiros ao Custo Amortizado,867472610.0,907737588.0,943401575.0,910573900.0,863061804.0,870148622.0,835349876.0,871517270.0,890922643.0,908781021.0,933291719.0,1045628783.0,1034298326.0,1056889361.0,1076794097.0,1076794097.0
1.02.04.04,Operações de Crédito,620226661.0,635157392.0,647883473.0,659729158.0,639358167.0,624497737.0,623972269.0,625292326.0,633027449.0,654473166.0,684719134.0,714003734.0,722769903.0,730768318.0,747756434.0,747756434.0
1.02.04.05,Provisão para Perdas Esperadas,-42680221.0,-45434167.0,-46085341.0,-54852900.0,-55694222.0,-55995287.0,-56226262.0,-50138736.0,-47665625.0,-45186082.0,-45647806.0,-47781558.0,-47442514.0,-47532821.0,-47263405.0,-47263405.0
1.04,Outros Ativos,8738054.0,10203280.0,10421494.0,12146688.0,10575454.0,11319409.0,11039309.0,10925942.0,13179180.0,17065498.0,17570017.0,19319765.0,17470685.0,19370225.0,20165195.0,20165195.0
1.05,Investimentos,7875706.0,7824376.0,8123549.0,8970513.0,9157523.0,9327715.0,9683967.0,9616840.0,9884058.0,10465407.0,10741603.0,11029012.0,12085618.0,12319238.0,12653425.0,12653425.0
1.06,Imobilizado,13998652.0,12685417.0,12037027.0,11971122.0,12201684.0,11499798.0,10988358.0,11118009.0,10667553.0,11125665.0,10192624.0,10220444.0,9141222.0,9178086.0,9013300.0,9013300.0
1.06.01,Imobilizado de Uso,13998652.0,12685417.0,12037027.0,11971122.0,12201684.0,11499798.0,10988358.0,11118009.0,10667553.0,11125665.0,10192624.0,10220444.0,9141222.0,9178086.0,9013300.0,9013300.0
1.07,Intangível,16345710.0,16424674.0,17480166.0,18799813.0,19652089.0,19562046.0,19677963.0,22107146.0,22447896.0,22613202.0,23193953.0,23749208.0,23300284.0,23982942.0,24162856.0,24162856.0
