Ticker,Preço_Fechamento,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2026T1
BBDC3,Preço de Fechamento Ajustado,12.14,10.66,12.13,10.05,9.25,11.62,10.08,12.73,10.66,9.7,11.4,9.44,10.38,13.57,14.83,18.54
BBDC4,Preço de Fechamento Ajustado,14.9,12.85,14.87,11.39,10.35,13.13,11.46,14.32,11.99,10.78,12.86,10.29,11.63,15.8,17.25,
