cd_conta_padrao,ds_conta_padrao,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,125316.0,756210.0,889939.0,115814.0,18614.0,852995.0,1091326.0,69102.0,18470.0,639808.0,1113672.0,131217.0,-6093.0,1005972.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-114035.0,-664733.0,-759401.0,-140993.0,58623.0,-769468.0,-919004.0,-76831.0,20789.0,-574516.0,-986872.0,-119074.0,41152.0,-904973.0
3.03,Resultado Bruto,11281.0,91477.0,130538.0,-25179.0,77237.0,83527.0,172322.0,-7729.0,39259.0,65292.0,126800.0,12143.0,35059.0,100999.0
3.04,Despesas/Receitas Operacionais,-4694.0,-2527.0,-39539.0,-10624.0,-4141.0,6404.0,-46035.0,-20433.0,1957.0,-3824.0,-56203.0,-25965.0,-13353.0,-11334.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,6587.0,88950.0,90999.0,-35803.0,73096.0,89931.0,126287.0,-28162.0,41216.0,61468.0,70597.0,-13822.0,21706.0,89665.0
3.06,Resultado Financeiro,2328.0,-14261.0,17442.0,7455.0,-12782.0,3958.0,2353.0,33427.0,-29452.0,-7046.0,33423.0,27501.0,-17468.0,-21423.0
3.07,Resultado Antes dos Tributos sobre o Lucro,8915.0,74689.0,108441.0,-28348.0,60314.0,93889.0,128640.0,5265.0,11764.0,54422.0,104020.0,13679.0,4238.0,68242.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2716.0,6833.0,-20870.0,14771.0,-18903.0,-6086.0,101191.0,2826.0,-1741.0,-18496.0,2446.0,3175.0,541.0,-21996.0
3.09,Resultado Líquido das Operações Continuadas,6199.0,81522.0,87571.0,-13577.0,41411.0,87803.0,229831.0,8091.0,10023.0,35926.0,106466.0,16854.0,4779.0,46246.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,-516.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,6199.0,81522.0,87571.0,-13577.0,41411.0,87803.0,229315.0,8091.0,10023.0,35926.0,106468.0,16854.0,4779.0,46246.0
3.99,Lucro por Ação - (Reais / Ação),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
