especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,482435340,482743727,483102222,477221343,449139684,444139684,444139684,444139684,444139684,481953895,482875033,483232789,483783557,562826671,562826671,ON
TOTAL,482435340,482743727,483102222,477221343,449139684,444139684,444139684,444139684,444139684,481953895,482875033,483232789,483783557,562826671,562826671,TOTAL
