especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,105737017,104719799,146575057,149000090,178002062,239844659,229860259,223618459,376726796,486788563,549629035,607283407,607283407,607283407,607283407
TOTAL,105737017,104719799,146575057,149000090,178002062,239844659,229860259,223618459,376726796,486788563,549629035,607283407,607283407,607283407,607283407
