Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,316827563,316827563,316827563,1684897850,1768769965,1849270515,1849270515,1984594655,1984594655,1984594655,2081728595,2081728595,2081728595,2289901455,2289901455
PN,600855733,600855733,600855733,3044891685,2961019600,2883910625,2883910625,3425207185,3425207185,3425207185,3536164161,3536164161,3536164161,3889780576,3889780576
TOTAL,917683296,917683296,917683296,4729789535,4729789565,4733181140,4733181140,5409801840,5409801840,5409801840,5617892756,5617892756,5617892756,6179682031,6179682031
