cd_conta,conta,2019T4,2020T1,2020T2,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1029623.000,1061148.000,989684.000,1196535.000,1271601.000,1237589.000,1385288.000,1466555.000,1493941.000,1540609.000,1654222.000,1646817.000,1728844.000,1842891.000,1996708.000,1990895.000,1969035.000,2023479.000,1916827.000,1916393.000,1940667.000,1967701.000,1983759.000
2.01,Passivo Circulante,96587.000,86977.000,153414.000,192989.000,187459.000,157703.000,159753.000,163280.000,215598.000,184999.000,223868.000,341371.000,381612.000,421827.000,396810.000,440467.000,380578.000,408783.000,376444.000,319413.000,429100.000,627440.000,428919.000
2.01.01,Obrigações Sociais e Trabalhistas,546.000,2161.000,3743.000,3330.000,4188.000,4982.000,6734.000,5390.000,5878.000,7939.000,8846.000,5622.000,6809.000,8721.000,10600.000,8365.000,10228.000,13430.000,14612.000,9341.000,11179.000,12319.000,12679.000
2.01.02,Fornecedores,6035.000,13200.000,15974.000,11425.000,18088.000,21230.000,26920.000,25061.000,24679.000,25927.000,30496.000,25682.000,34525.000,40830.000,60747.000,37156.000,49003.000,56315.000,54460.000,41095.000,48240.000,55410.000,48227.000
2.01.03,Obrigações Fiscais,971.000,1810.000,1997.000,9423.000,9965.000,9321.000,10025.000,10485.000,11672.000,9332.000,8812.000,10464.000,14368.000,13095.000,18444.000,19432.000,19116.000,23717.000,24224.000,25418.000,26207.000,25505.000,25951.000
2.01.04,Empréstimos e Financiamentos,0.000,0.000,0.000,78670.000,60198.000,10000.000,22456.000,36197.000,46971.000,67792.000,89988.000,172726.000,175504.000,172614.000,155675.000,171533.000,151291.000,148695.000,142801.000,126812.000,230283.000,402089.000,215114.000
2.01.05,Outras Obrigações,88781.000,69576.000,131470.000,89343.000,94114.000,111362.000,92381.000,84613.000,124542.000,71388.000,82878.000,124648.000,148053.000,184189.000,148936.000,202055.000,148629.000,164381.000,138019.000,113837.000,111902.000,130805.000,125597.000
2.01.06,Provisões,254.000,230.000,230.000,798.000,906.000,808.000,1237.000,1534.000,1856.000,2621.000,2848.000,2229.000,2353.000,2378.000,2408.000,1926.000,2311.000,2245.000,2328.000,2910.000,1289.000,1312.000,1351.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,533040.000,560541.000,246778.000,291708.000,357487.000,332614.000,453352.000,505175.000,461911.000,523724.000,609530.000,507236.000,533423.000,591456.000,686483.000,615280.000,664389.000,710374.000,660465.000,710974.000,669057.000,514603.000,661692.000
2.02.01,Empréstimos e Financiamentos,0.000,0.000,0.000,82384.000,68107.000,89204.000,237785.000,261237.000,253348.000,250933.000,230274.000,171167.000,176405.000,295682.000,321100.000,323964.000,322761.000,405624.000,421245.000,477560.000,388034.000,235713.000,370795.000
2.02.02,Outras Obrigações,510617.000,541297.000,224594.000,182238.000,263177.000,218096.000,187678.000,207114.000,167423.000,229045.000,333399.000,298670.000,320078.000,254991.000,326289.000,250578.000,300250.000,267071.000,201101.000,200840.000,235232.000,232792.000,233776.000
2.02.03,Tributos Diferidos,0.000,1147.000,0.000,4300.000,3083.000,2332.000,2570.000,2838.000,4188.000,5545.000,6077.000,6029.000,6432.000,9083.000,9030.000,12168.000,12510.000,10682.000,11210.000,8385.000,5530.000,5118.000,4886.000
2.02.04,Provisões,22423.000,18097.000,22184.000,22786.000,23120.000,22982.000,25319.000,33986.000,36952.000,38201.000,39780.000,31370.000,30508.000,31700.000,30064.000,28570.000,28868.000,26997.000,26909.000,24189.000,40261.000,40980.000,52235.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
