cd_conta,conta,2019T1,2019T2,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-12043.000,-24267.000,4097.000,-13601.000,-45115.000,64970.000,16746.000,15950.000,-33214.000,-7018.000,-34003.000,-6335.000,-11654.000,-4196.000,-80017.000,-54303.000,-76757.000,-36657.000,13955.000,27001.000,20472.000,-20124.000,3440.000,-29998.000,-44687.000
6.01.DA,Depreciação e Amortização,67.000,133.000,81.000,88.000,80.000,72.000,102.000,187.000,220.000,489.000,572.000,1139.000,1778.000,-987.000,724.000,724.000,654.000,913.000,863.000,849.000,892.000,1122.000,1202.000,2571.000,4636.000
6.02,Caixa Líquido Atividades de Investimento,-1.000,0.000,-592.000,-1916.000,52496.000,-38748.000,-6665.000,-1234.000,1582.000,-37844.000,1068.000,3124.000,-20778.000,6803.000,7315.000,29062.000,-11317.000,-7818.000,18127.000,3223.000,18367.000,-90172.000,-20892.000,-13613.000,-109350.000
6.03,Caixa Líquido Atividades de Financiamento,4233.000,24789.000,6881.000,4472.000,-1117.000,70087.000,-35322.000,-29196.000,159180.000,28452.000,3180.000,8083.000,10321.000,-3021.000,14028.000,109516.000,54011.000,11456.000,-40314.000,99068.000,-90778.000,120299.000,16027.000,27412.000,82495.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-7811.000,522.000,10386.000,-11045.000,6264.000,96309.000,-25241.000,-14480.000,127548.000,-16410.000,-29755.000,4872.000,-22111.000,-414.000,-58674.000,84275.000,-34063.000,-33019.000,-8232.000,129292.000,-51939.000,10003.000,-1425.000,-16199.000,-71542.000
