especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,7463987,149279740,149279740,153909975,153909975,153909975,153909975,153909975,153909975,153909975,256720235,256720235,246359319,239829919,239829919,ON
PN,640513,12810260,12810260,12810260,12810260,12810260,12810260,12810260,12810260,12810260,0,0,0,0,0,PN
TOTAL,8104500,162090000,162090000,166720235,166720235,166720235,166720235,166720235,166720235,166720235,256720235,256720235,246359319,239829919,239829919,TOTAL
