especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,63860513,64484433,64484433,64484433,64484433,64484433,64484433,64484433,257937732,257937732,257937732,257937732,257937732,257937732,257937732,ON
PN,87968467,88177132,88177132,88177132,96775022,96775022,100236393,100236393,400945572,400945572,400945572,400945572,400945572,400945572,400945572,PN
TOTAL,151828980,152661565,152661565,152661565,161259455,161259455,164720826,164720826,658883304,658883304,658883304,658883304,658883304,658883304,658883304,TOTAL
