especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,86500000,83000000,83000000,83000000,83000000,119663612,119663612,119663612,119663612,165113612,165113612,152644445,152644445,152644445,152644445,ON
TOTAL,86500000,83000000,83000000,83000000,83000000,119663612,119663612,119663612,119663612,165113612,165113612,152644445,152644445,152644445,152644445,TOTAL
