cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1644802.000,1621827.000,1686295.000,2184209.000,2218692.000,2067452.000,2435329.000,2610743.000,2692070.000,2561745.000,2549470.000,2831209.000,3031361.000,2872723.000,2823570.000,3053455.000,3305723.000,3272536.000,3748129.000,3655075.000,3702247.000,3430223.000,3738105.000,3666739.000
2.01,Passivo Circulante,707482.000,662932.000,742123.000,930662.000,977080.000,842522.000,879695.000,1014374.000,1126606.000,903200.000,936879.000,979587.000,1074985.000,1008949.000,1050540.000,1096071.000,1307156.000,1246040.000,1456804.000,1505399.000,1694929.000,1550383.000,1640892.000,1621493.000
2.01.01,Obrigações Sociais e Trabalhistas,54085.000,50596.000,75893.000,78785.000,70767.000,58742.000,73024.000,87081.000,75491.000,64839.000,74129.000,83077.000,69480.000,76622.000,84326.000,92561.000,88225.000,83777.000,118234.000,112149.000,95727.000,84089.000,94208.000,102515.000
2.01.02,Fornecedores,314051.000,222509.000,232004.000,353477.000,369366.000,256850.000,306353.000,385614.000,475801.000,248072.000,286262.000,300217.000,395742.000,296639.000,306564.000,302107.000,394872.000,317419.000,362610.000,366346.000,470881.000,329994.000,339953.000,306996.000
2.01.03,Obrigações Fiscais,13103.000,9725.000,22998.000,24028.000,17579.000,30807.000,13791.000,14970.000,20176.000,17237.000,16040.000,12686.000,19200.000,14028.000,15445.000,15050.000,39845.000,31917.000,44906.000,19090.000,29310.000,25717.000,19677.000,18952.000
2.01.04,Empréstimos e Financiamentos,69235.000,121055.000,156371.000,167840.000,167908.000,139330.000,124877.000,118659.000,109494.000,111836.000,102076.000,99891.000,64121.000,75262.000,91989.000,101155.000,111282.000,106533.000,155662.000,179482.000,196132.000,197020.000,231244.000,178128.000
2.01.05,Outras Obrigações,257008.000,259047.000,254857.000,306532.000,351460.000,356793.000,361650.000,408050.000,445644.000,461216.000,458372.000,483716.000,526442.000,546398.000,552216.000,585198.000,672932.000,706394.000,775392.000,828332.000,902879.000,913563.000,955810.000,1014902.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,791654.000,814767.000,795597.000,791697.000,762285.000,731554.000,1043180.000,1065397.000,1023955.000,1124804.000,1086763.000,1331253.000,1419554.000,1347239.000,1260274.000,1453558.000,1464765.000,1405777.000,1725085.000,1585707.000,1461321.000,1343837.000,1607423.000,1597094.000
2.02.01,Empréstimos e Financiamentos,266764.000,272237.000,259847.000,235024.000,207835.000,180566.000,208260.000,180944.000,158314.000,281959.000,261943.000,238749.000,348944.000,323090.000,292249.000,267626.000,390008.000,419207.000,438377.000,390748.000,338390.000,302938.000,265556.000,381380.000
2.02.02,Outras Obrigações,514330.000,530524.000,519774.000,528640.000,525048.000,521233.000,811348.000,859963.000,840585.000,818058.000,800538.000,1067959.000,1045481.000,998976.000,948283.000,1165515.000,1054153.000,965607.000,1272965.000,1180595.000,1108296.000,1026940.000,1325405.000,1200026.000
