Ticker,Preço_Fechamento,2010T1,2010T2,2010T3,2011T1,2011T2,2011T3,2012T1,2012T2,2012T3,2013T1,2013T2,2013T3,2014T1,2014T2,2014T3,2015T1,2015T2,2015T3,2016T1,2016T2,2016T3,2017T1,2017T2,2017T3,2018T1,2018T2,2018T3,2019T1,2019T2,2019T3,2020T1,2020T2,2020T3,2021T1,2021T2,2021T3,2022T1,2022T2,2022T3,2023T1,2023T2,2023T3,2024T1,2024T2,2024T3,2025T1,2025T2,2025T3
ALUP3,Preço de Fechamento Ajustado,,,,,,,,,,,,,,,,,,,,,,4.53,4.26,4.64,4.76,4.13,4.8,5.29,6.48,7.08,7.55,6.95,6.59,6.23,6.31,5.93,6.7,6.79,6.84,6.87,8.41,8.18,8.75,9.17,9.6,9.23,10.73,11.28
ALUP4,Preço de Fechamento Ajustado,,,,,,,,,,,,,,,,,,,,,2.07,4.0,3.49,3.69,3.35,3.09,2.95,5.12,5.62,5.14,4.06,4.99,4.92,5.94,6.48,5.92,6.63,6.56,7.07,6.88,8.49,8.17,8.57,9.04,9.13,8.84,9.7,10.01
