especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,136720840,136868229,578416212,1458659593,840106107,161769820,239128430,314990499,314990499,315767683,1266038219,1283339183,1584572378,1584697571,1932591767,ON
TOTAL,136720840,136868229,578416212,1458659593,840106107,161769820,239128430,314990499,314990499,315767683,1266038219,1283339183,1584572378,1584697571,1932591767,TOTAL
