cd_conta,conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,180509.0,212524.0,213541.0,215358.0,277333.0,340229.0,311403.0,310270.0,375242.0,437435.0,389485.0,444354.0,426594.0,423257.0,409320.0,396759.0,378522.0,372365.0,355944.0,317560.0,308135.0,312595.0,300610.0,283339.0,284658.0,293702.0,303218.0
1.01,Ativo Circulante,65940.0,98857.0,99350.0,88653.0,148721.0,198985.0,183687.0,178808.0,256845.0,302961.0,274916.0,312369.0,303533.0,295348.0,272912.0,249874.0,232145.0,216575.0,199367.0,174516.0,158646.0,160231.0,146649.0,124055.0,123004.0,124073.0,122435.0
1.01.01,Caixa e Equivalentes de Caixa,79.0,334.0,5196.0,229.0,1323.0,8612.0,1822.0,3452.0,1521.0,4421.0,224.0,4026.0,239.0,6575.0,2082.0,3851.0,160.0,1403.0,401.0,686.0,485.0,119.0,316.0,618.0,230.0,100.0,458.0
1.01.02,Aplicações Financeiras,618.0,822.0,831.0,769.0,15008.0,15479.0,2484.0,1963.0,483.0,477.0,23627.0,40950.0,15747.0,329.0,42.0,45.0,28.0,26.0,31.0,13125.0,433.0,442.0,9292.0,1227.0,444.0,356.0,367.0
1.01.03,Contas a Receber,20240.0,42745.0,36660.0,21090.0,29703.0,55642.0,52937.0,58462.0,140054.0,162848.0,109453.0,153312.0,170189.0,175682.0,164290.0,147495.0,143511.0,129486.0,116328.0,74703.0,55265.0,55211.0,46037.0,46372.0,45246.0,46587.0,46921.0
1.01.04,Estoques,28773.0,35873.0,35517.0,34201.0,43526.0,65610.0,83227.0,85768.0,73574.0,79121.0,100552.0,81340.0,85556.0,83095.0,80273.0,67322.0,72382.0,71358.0,67829.0,63935.0,68804.0,71617.0,61495.0,58199.0,61161.0,57619.0,53433.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,5807.0,8995.0,11135.0,17102.0,15385.0,21423.0,19248.0,15779.0,18249.0,17309.0,12272.0,21546.0,20824.0,21296.0,17246.0,20000.0,8766.0,8497.0,9036.0,11868.0,18336.0,17822.0,15874.0,12190.0,11331.0,12820.0,12547.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,10423.0,10088.0,10011.0,15262.0,43776.0,32219.0,23969.0,13384.0,22964.0,38785.0,28788.0,11195.0,10978.0,8371.0,8979.0,11161.0,7298.0,5805.0,5742.0,10199.0,15323.0,15020.0,13635.0,5449.0,4592.0,6591.0,8709.0
1.02,Ativo Não Circulante,114569.0,113667.0,114191.0,126705.0,128612.0,141244.0,127716.0,131462.0,118397.0,134474.0,114569.0,131985.0,123061.0,127909.0,136408.0,146885.0,146377.0,155790.0,156577.0,143044.0,149489.0,152364.0,153961.0,159284.0,161654.0,169629.0,180783.0
1.02.01,Ativo Realizável a Longo Prazo,25714.0,24900.0,21717.0,29753.0,30303.0,27702.0,27185.0,33415.0,20185.0,23945.0,22295.0,40605.0,32729.0,33076.0,36380.0,36387.0,36336.0,42371.0,41650.0,27964.0,27115.0,26810.0,24675.0,24906.0,25185.0,27299.0,29684.0
1.02.02,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02.03,Imobilizado,61986.0,61411.0,64711.0,68884.0,70057.0,85586.0,74279.0,74769.0,79108.0,95578.0,80555.0,81951.0,82149.0,87807.0,92490.0,99941.0,99358.0,101944.0,103467.0,103575.0,110584.0,113622.0,116954.0,121830.0,123820.0,129577.0,138270.0
1.02.04,Intangível,26869.0,27356.0,27763.0,28068.0,28252.0,27956.0,26252.0,23278.0,19104.0,14951.0,11719.0,9429.0,8183.0,7026.0,7538.0,10557.0,10683.0,11475.0,11460.0,11505.0,11790.0,11932.0,12332.0,12548.0,12649.0,12753.0,12829.0
