Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,47737703,47737955,114518025,157604619,4696917000,9393834,15130239,16597970,25034015,28477701,29211160,32297168,41336298,42139719,42139719
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,47737703,47737955,114518025,157604619,4696917000,9393834,15130239,16597970,25034015,28477701,29211160,32297168,41336298,42139719,42139719
