especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,122349065,122821065,124203315,126024315,127394565,640041325,711145682,713235181,792026948,795589562,796170210,988779779,963226993,963226993,1059549692,ON
TOTAL,122349065,122821065,124203315,126024315,127394565,640041325,711145682,713235181,792026948,795589562,796170210,988779779,963226993,963226993,1059549692,TOTAL
