especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,27266565,27266565,27266565,27266565,27266565,27266565,27266565,27266565,38173191,38173191,76346382,152692764,152692764,152692764,152692764,ON
PN,36550360,36550360,36550360,36550360,36550360,36550360,36550360,36550360,51170504,51170504,102341008,204682016,204682016,204682016,204682016,PN
TOTAL,63816925,63816925,63816925,63816925,63816925,63816925,63816925,63816925,89343695,89343695,178687390,357374780,357374780,357374780,357374780,TOTAL
