especie,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,2209346079,2209346079,2209346079,2209346079,2248469834,ON
TOTAL,2209346079,2209346079,2209346079,2209346079,2248469834,TOTAL
