codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,4.4714,-21.9051,5.2804,777.7778,944.7368,4.9734,9.0335,6.1295
P_VPA,P/VPA,Valuation,x,1.8239,1.3724,0.5805,0.2158,0.7346,0.6876,1.3718,0.9308
EV_EBITDA,EV/EBITDA,Valuation,x,2.9647,10.5781,6.0777,1.1651,2.3151,1.4542,2.8997,1.9805
EV_EBIT,EV/EBIT,Valuation,x,5.9407,-20.3701,22.2319,4.1589,6.4746,2.719,4.8834,3.3354
EV_RECEITA,EV/Receita,Valuation,x,1.1612,0.8189,0.4003,0.1804,0.3801,0.2881,0.6102,0.4168
DY,Dividend Yield,Valuation,%,1.5638,,,,,4.6707,2.4301,3.5815
PAYOUT,Payout,Valuation,%,8.0392,,,,,23.4823,22.2965,22.2965
ROE,ROE,Rentabilidade,%,35.4798,6.1669,11.6467,0.0277,0.0777,14.3162,15.7437,15.7437
ROA,ROA,Rentabilidade,%,16.1004,2.4925,4.1172,0.0091,0.0245,4.6476,5.9769,5.9769
ROIC,ROIC,Rentabilidade,%,17.5724,-4.5992,1.845,5.1035,7.7633,16.5154,18.4442,18.4442
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,39.1683,7.7414,6.5872,15.4806,16.4172,19.8139,21.0434,21.0434
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,18.3909,4.0713,6.3846,0.0134,0.0348,5.9252,6.5579,6.5579
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.551,-0.9419,0.9562,0.4889,0.3088,-0.0493,0.0404,0.0404
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4163,-0.1122,0.1084,0.156,0.1131,-0.0225,0.0194,0.0194
ICJ,ICJ,Endividamento,x,3.4271,-0.7274,0.3463,0.446,0.6197,1.4239,1.6944,1.6944
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,22.5418,32.2476,8.8141,34.6849,30.3004,30.4764,36.299,36.299
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.713,1.5632,1.627,1.2917,1.388,1.2969,1.4991,1.4991
LIQ_SECA,Liquidez Seca,Liquidez,x,1.4019,1.2786,1.2754,1.0602,1.1145,1.0288,1.0857,1.0857
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0992,1.0383,0.9195,0.9318,0.9721,1.0092,1.0587,1.0587
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.8755,0.5589,0.5942,0.6421,0.7135,0.7596,0.9042,0.9042
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,44.0778,8.5649,7.9749,-44.0407,18.8491,-37.7739,30.0094,30.0094
PME,PME,Eficiência,dias,72.1728,105.4281,110.9391,99.6711,98.5458,107.4007,116.7012,116.7012
NCG_RECEITA,NCG/Receita,Eficiência,%,21.9346,3.6644,11.3574,2.2104,6.0417,0.3552,8.5364,8.5364
