especie,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,308245068,308245068,308245068,308245068,308245068,308245068,ON
TOTAL,308245068,308245068,308245068,308245068,308245068,308245068,TOTAL
