cd_conta,conta,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3478337.000,5432673.000,5572110.000,5547552.000,6037092.000,5798357.000,6498495.000,6778016.000,7309647.000,6797551.000,6963596.000,7613818.000,8672666.000,8256189.000,9006089.000,9014859.000,9629594.000,9037983.000,8713350.000,8752472.000,9417656.000,8886529.000,8612798.000,8776860.000,10053899.000,9280801.000,8869904.000,8917834.000
2.01,Passivo Circulante,1750068.000,1213379.000,1238059.000,1224875.000,1751077.000,1475716.000,1488605.000,1827303.000,2251711.000,1975019.000,1585559.000,1901386.000,2415055.000,2381594.000,3182359.000,3240893.000,3679731.000,2769953.000,2494217.000,2628431.000,3200131.000,2744027.000,2855447.000,3215159.000,3850272.000,3354947.000,2806312.000,2836136.000
2.01.01,Obrigações Sociais e Trabalhistas,130922.000,144494.000,115172.000,135177.000,128548.000,124250.000,137789.000,145067.000,136126.000,111566.000,129534.000,158640.000,155470.000,160656.000,127233.000,141383.000,198732.000,204702.000,183108.000,201177.000,231364.000,265955.000,210437.000,243493.000,279826.000,284721.000,263247.000,288346.000
2.01.02,Fornecedores,678846.000,569391.000,627419.000,581978.000,804013.000,628151.000,415945.000,725443.000,1158914.000,918986.000,847973.000,1061688.000,1400736.000,1291227.000,1458552.000,1427992.000,1864653.000,1041159.000,1232114.000,1238451.000,1553934.000,1170601.000,1325222.000,1879154.000,2239286.000,1906176.000,1447579.000,1441230.000
2.01.03,Obrigações Fiscais,187495.000,45690.000,92618.000,65547.000,219282.000,41695.000,18105.000,22200.000,107276.000,16836.000,42555.000,51761.000,176103.000,91235.000,90245.000,61316.000,248041.000,49793.000,105011.000,56851.000,287249.000,46086.000,109315.000,87651.000,375899.000,60127.000,143236.000,127087.000
2.01.04,Empréstimos e Financiamentos,230.000,313384.000,319121.000,321224.000,357891.000,368949.000,768508.000,772838.000,390600.000,417680.000,69142.000,105901.000,121178.000,195286.000,916603.000,977683.000,746015.000,836674.000,416252.000,507666.000,511427.000,556625.000,560554.000,293847.000,456541.000,585225.000,424660.000,453382.000
2.01.05,Outras Obrigações,752575.000,140420.000,83729.000,120949.000,241343.000,312671.000,148258.000,161755.000,458795.000,509951.000,496355.000,523396.000,561568.000,643190.000,589726.000,632519.000,622290.000,637625.000,557732.000,624286.000,616157.000,704760.000,649919.000,711014.000,498720.000,518698.000,527590.000,526091.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,613230.000,2354784.000,2447211.000,2410656.000,1546445.000,1612029.000,2431859.000,2401408.000,2403136.000,2298101.000,2788232.000,2871225.000,3262602.000,3048649.000,2979102.000,2988094.000,2949667.000,3396871.000,3340932.000,3281338.000,3204806.000,3062241.000,2615013.000,2380925.000,2895139.000,2663302.000,2607902.000,2544865.000
2.02.01,Empréstimos e Financiamentos,1618.000,1375189.000,1343522.000,1303601.000,1229789.000,1331949.000,2141910.000,2108629.000,820652.000,801375.000,1280206.000,1268825.000,1253648.000,1514959.000,1423975.000,1404367.000,1404817.000,1385352.000,1294508.000,1215467.000,1176427.000,1137387.000,759868.000,1136816.000,1041472.000,858562.000,843176.000,795639.000
2.02.02,Outras Obrigações,349005.000,697093.000,815064.000,815245.000,37183.000,51073.000,59367.000,61553.000,1352360.000,1308561.000,1313586.000,1405274.000,1839428.000,1359408.000,1382851.000,1405295.000,1362003.000,1821368.000,1850788.000,1882802.000,1843390.000,1764280.000,1727589.000,1127485.000,1560615.000,1522459.000,1479657.000,1497702.000
2.02.03,Tributos Diferidos,0.000,14274.000,21999.000,31836.000,45631.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
