cd_conta,conta,2020T4,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,0.000,2026799.000,3447347.000,3424022.000,3465030.000,3577727.000,3647129.000,3748718.000,3964643.000,3975299.000,3995411.000,3928864.000,3940772.000,3990070.000,3895459.000,3862464.000,3812140.000,3944594.000
2.01,Passivo Circulante,0.000,623890.000,699604.000,645016.000,626521.000,682024.000,737213.000,652933.000,675725.000,721662.000,760020.000,712794.000,700823.000,884302.000,823961.000,812837.000,798492.000,898780.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,68060.000,74957.000,84686.000,73903.000,91225.000,76078.000,86527.000,90441.000,100797.000,84560.000,91553.000,88322.000,104308.000,91075.000,102061.000,91784.000,109035.000
2.01.02,Fornecedores,0.000,252960.000,339433.000,295720.000,284692.000,313569.000,366585.000,289258.000,309900.000,341180.000,409066.000,365715.000,365641.000,380541.000,408843.000,392463.000,353862.000,416251.000
2.01.03,Obrigações Fiscais,0.000,28120.000,27543.000,29020.000,32164.000,41883.000,42988.000,39001.000,47272.000,49208.000,52203.000,48883.000,48643.000,53282.000,59004.000,54915.000,54062.000,61846.000
2.01.04,Empréstimos e Financiamentos,0.000,174471.000,128268.000,96866.000,95261.000,88904.000,86269.000,72202.000,66536.000,62410.000,47023.000,31297.000,18868.000,28795.000,63096.000,54669.000,85873.000,97805.000
2.01.05,Outras Obrigações,0.000,100279.000,129403.000,138724.000,140501.000,146443.000,165293.000,165945.000,161576.000,168067.000,167168.000,175346.000,179349.000,317376.000,201943.000,208729.000,212911.000,213843.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,0.000,817613.000,988487.000,1010050.000,1042402.000,1064568.000,1069344.000,1245890.000,1431449.000,1452100.000,1426498.000,1406097.000,1426401.000,1407090.000,1409812.000,1390824.000,1331466.000,1329552.000
2.02.01,Empréstimos e Financiamentos,0.000,121509.000,97813.000,74116.000,50420.000,39027.000,26832.000,208962.000,386867.000,394019.000,387685.000,392048.000,413180.000,409029.000,404369.000,386313.000,342137.000,336922.000
2.02.02,Outras Obrigações,0.000,694907.000,884498.000,929856.000,985494.000,1018599.000,1026418.000,1020518.000,1028397.000,1041866.000,1023308.000,998509.000,989772.000,974374.000,981879.000,982250.000,967386.000,970771.000
2.02.03,Tributos Diferidos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
