cd_conta,conta,2020T4,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,0.000,2026799.000,3447347.000,3424022.000,3465030.000,3577727.000,3647129.000,3748718.000,3964643.000,3975299.000,3995411.000,3928864.000,3940772.000,3990070.000,3895459.000,3862464.000,3812140.000,3944594.134
1.01,Ativo Circulante,0.000,695338.000,1362704.000,1256482.000,1191889.000,1138242.000,1089232.000,1186496.000,1385637.000,1368756.000,1378657.000,1338006.000,1356501.000,1454783.000,1377991.000,1368729.000,1377094.000,1533165.000
1.01.01,Caixa e Equivalentes de Caixa,0.000,144846.000,673672.000,497925.000,392357.000,262413.000,185411.000,329359.000,506721.000,471765.000,56225.000,36427.000,24310.000,170143.000,76559.000,47981.000,26206.000,107293.000
1.01.02,Aplicações Financeiras,0.000,17015.000,14532.000,658.000,28.000,0.000,0.000,0.000,0.000,0.000,370230.000,377331.000,385460.000,305428.000,281944.000,298692.000,347706.000,407106.000
1.01.03,Contas a Receber,0.000,210873.000,259605.000,269749.000,290715.000,326974.000,328299.000,330503.000,337975.000,351530.000,364273.000,364545.000,377679.000,365381.000,386664.000,375119.000,397132.000,377521.000
1.01.04,Estoques,0.000,262419.000,334524.000,383238.000,391720.000,421089.000,428092.000,383697.000,391455.000,399824.000,441509.000,407949.000,416651.000,448707.000,473207.000,485014.000,446434.000,484865.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,0.000,41811.000,68193.000,81505.000,95094.000,104654.000,121212.000,118355.000,121730.000,117003.000,119798.000,126858.000,121903.000,136506.000,124332.000,128783.000,122883.000,118634.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,0.000,18374.000,12178.000,23407.000,21975.000,23112.000,26218.000,24582.000,27756.000,28634.000,26622.000,24896.000,30498.000,28618.000,35285.000,33140.000,36733.000,37746.000
1.02,Ativo Não Circulante,0.000,1331461.000,2084643.000,2167540.000,2273141.000,2439485.000,2557897.000,2562222.000,2579006.000,2606543.000,2616754.000,2590858.000,2584271.000,2535287.000,2517468.000,2493735.000,2435046.000,2411429.134
1.02.01,Ativo Realizável a Longo Prazo,0.000,39217.000,59080.000,64828.000,66428.000,95051.000,108010.000,109781.000,61086.000,141985.000,150978.000,151770.000,165023.000,57475.000,179302.000,176398.000,158016.000,154028.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61783.000,0.000,0.000,0.000,0.000,88593.000,0.000,0.000,0.000,0.000
1.02.03,Imobilizado,0.000,1213172.000,1401390.000,1476158.000,1583051.000,1671149.000,1744660.000,1733663.000,1727438.000,1727977.000,1714769.000,1686255.000,1664116.000,1634879.000,1636093.000,1613896.000,1574131.000,1555628.000
1.02.04,Intangível,0.000,79072.000,624173.000,626554.000,623662.000,673285.000,705227.000,718778.000,728699.000,736581.000,751007.000,752833.000,755132.000,754340.000,702073.000,703441.000,702899.000,701773.134
