cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
1,Ativo Total,2666405.0,2717823.0,2528745.0,2285555.0,2272898.0,2320852.0,2290041.0,1949395.0,1951880.0,1926012.0,1916968.0,1808994.0,1798982.0,1801998.0,1792176.0,1473029.0,1472000.0,1453392.0,1429638.0,1408179.0,1402023.0,1397780.0,1387075.0,1629781.0,1478070.0,1451420.0,1486228.0,1506981.0,1496940.0,1361022.0,1326485.0,1320033.0,1318070.0,1290957.0,1243630.0,1166605.0,1155029.0,1099607.0,1024515.0,932845.0,920668.0,440271.0
1.01,Ativo Circulante,678265.0,748135.0,604435.0,643427.0,629372.0,643690.0,623500.0,555752.0,552147.0,530426.0,526138.0,506958.0,501945.0,508179.0,503808.0,245172.0,250699.0,248200.0,280702.0,249964.0,231327.0,222795.0,236901.0,548969.0,394762.0,54990.0,123098.0,125503.0,107284.0,128693.0,113782.0,108979.0,109216.0,109211.0,111615.0,107082.0,96745.0,98868.0,98239.0,96883.0,107902.0,154150.0
1.01.01,Caixa e Equivalentes de Caixa,3041.0,1142.0,5946.0,4762.0,1537.0,1705.0,905.0,1369.0,1140.0,2709.0,901.0,3281.0,501.0,1078.0,1814.0,2293.0,426.0,197.0,832.0,407.0,79.0,238.0,320.0,128.0,64899.0,167.0,305.0,10201.0,392.0,18549.0,1050.0,1722.0,255.0,62.0,3088.0,1874.0,429.0,974.0,62.0,126.0,367.0,11833.0
1.01.02,Aplicações Financeiras,2893.0,1655.0,1657.0,352.0,355.0,287.0,289.0,291.0,288.0,288.0,288.0,288.0,294.0,294.0,299.0,301.0,302.0,303.0,303.0,168.0,170.0,173.0,175.0,176.0,178.0,181.0,183.0,185.0,187.0,190.0,195.0,197.0,201.0,162.0,166.0,167.0,201.0,305.0,307.0,321.0,324.0,127.0
1.01.03,Contas a Receber,223882.0,197104.0,182278.0,314688.0,312458.0,329103.0,319626.0,257585.0,263143.0,261564.0,259534.0,261561.0,259840.0,259295.0,285476.0,185047.0,174900.0,173904.0,175666.0,168834.0,167729.0,169149.0,169825.0,501534.0,276212.0,5522.0,6390.0,4579.0,4076.0,5252.0,5246.0,6614.0,5216.0,5756.0,3003.0,675.0,944.0,1148.0,838.0,2869.0,4726.0,12704.0
1.01.04,Estoques,377934.0,376511.0,325691.0,242266.0,240630.0,236041.0,236966.0,221309.0,221777.0,201284.0,199610.0,190928.0,190177.0,197108.0,177489.0,20040.0,20620.0,20715.0,20550.0,7360.0,6252.0,7293.0,8312.0,5832.0,8434.0,8200.0,9106.0,8936.0,7238.0,9424.0,12053.0,7244.0,9134.0,9794.0,11000.0,10425.0,10110.0,11281.0,11743.0,9365.0,10824.0,12685.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,453.0,2089.0,1853.0,1544.0,1164.0,699.0,424.0,390.0,356.0,322.0,311.0,311.0,277.0,277.0,277.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,286.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,70062.0,169634.0,87010.0,79815.0,73228.0,75855.0,65290.0,74808.0,65443.0,64259.0,65494.0,50589.0,50856.0,50127.0,38453.0,37491.0,54451.0,53081.0,83351.0,73180.0,57097.0,45942.0,58269.0,41299.0,45039.0,40920.0,107114.0,101602.0,95391.0,95278.0,95238.0,93202.0,94410.0,93437.0,94358.0,93627.0,84775.0,85160.0,85289.0,84202.0,91661.0,116801.0
1.02,Ativo Não Circulante,1988140.0,1969688.0,1924310.0,1642128.0,1643526.0,1677162.0,1666541.0,1393643.0,1399733.0,1395586.0,1390830.0,1302036.0,1297037.0,1293819.0,1288368.0,1227857.0,1221301.0,1205192.0,1148936.0,1158215.0,1170696.0,1174985.0,1150174.0,1080812.0,1083308.0,1396430.0,1363130.0,1381478.0,1389656.0,1232329.0,1212703.0,1211054.0,1208854.0,1181746.0,1132015.0,1059523.0,1058284.0,1000739.0,926276.0,835962.0,812766.0,286121.0
1.02.01,Ativo Realizável a Longo Prazo,504915.0,505737.0,528384.0,575477.0,579341.0,618940.0,607839.0,357434.0,366818.0,366462.0,366948.0,285411.0,283785.0,279759.0,277450.0,267253.0,264017.0,257993.0,233891.0,218326.0,230842.0,237580.0,258841.0,216186.0,217920.0,535266.0,521216.0,519732.0,531179.0,376089.0,359123.0,364338.0,365054.0,340343.0,293364.0,303134.0,307177.0,298255.0,304953.0,218324.0,195307.0,60701.0
1.02.02,Investimentos,618242.0,604302.0,579212.0,262677.0,264822.0,266591.0,271619.0,259786.0,260122.0,262428.0,261747.0,258748.0,259626.0,264663.0,266013.0,268139.0,268105.0,261889.0,263442.0,260491.0,263276.0,263636.0,264274.0,248282.0,251653.0,249965.0,233781.0,249199.0,249326.0,249001.0,248207.0,243011.0,241795.0,240714.0,239259.0,235588.0,233668.0,186999.0,107430.0,105243.0,106600.0,96346.0
1.02.03,Imobilizado,406681.0,402024.0,393738.0,381675.0,377741.0,370686.0,366815.0,361832.0,358880.0,353460.0,349576.0,345995.0,342421.0,338868.0,335048.0,283268.0,280643.0,277435.0,244389.0,272840.0,270665.0,268501.0,222435.0,220419.0,218416.0,216476.0,213885.0,218719.0,215735.0,214230.0,212746.0,211446.0,210114.0,209047.0,207785.0,129228.0,125887.0,123955.0,122377.0,120879.0,119343.0,117378.0
1.02.04,Intangível,458302.0,457625.0,422976.0,422299.0,421622.0,420945.0,420268.0,414591.0,413913.0,413236.0,412559.0,411882.0,411205.0,410529.0,409857.0,409197.0,408536.0,407875.0,407214.0,406558.0,405913.0,405268.0,404624.0,395925.0,395319.0,394723.0,394248.0,393828.0,393416.0,393009.0,392627.0,392259.0,391891.0,391642.0,391607.0,391573.0,391552.0,391530.0,391516.0,391516.0,391516.0,11696.0
