especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2024T4,2026T1
ON,89500000,89500000,89500000,89500000,179000000,179000000,179000000,179000000,29833333,51675555,51675555,61776575,61776575,61776575,ON
TOTAL,89500000,89500000,89500000,89500000,179000000,179000000,179000000,179000000,29833333,51675555,51675555,61776575,61776575,61776575,TOTAL
